"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS007113","TN0660000PRPO","Union City","Obion County","TN","Obion County Sheriff's Office","Sheriff","The Obion County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007114","TN0670000PRPO","Livingston","Overton County","TN","Overton County Sheriff's Office","Sheriff","The Overton County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007115","TN0680000PRPO","Linden","Perry County","TN","Perry County Sheriff's Office","Sheriff","The Perry County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007116","TN0690000PRPO","Byrdstown","Pickett County","TN","Pickett County Sheriff's Office","Sheriff","The Pickett County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007117","TN0700000PRPO","Benton","Polk County","TN","Polk County Sheriff's Office","Sheriff","The Polk County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007118","TN0710000PRPO","Cookeville","Putnam County","TN","Putnam County Sheriff's Office","Sheriff","The Putnam County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007119","TN0720000PRPO","Dayton","Rhea County","TN","Rhea County Sheriff's Office","Sheriff","The Rhea County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007120","TN0730000PRPO","Kingston","Roane County","TN","Roane County Sheriff's Office","Sheriff","The Roane County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007121","TN0740000PRPO","Springfield","Robertson County","TN","Robertson County Sheriff's Office","Sheriff","The Robertson County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007122","TN0750000PRPO","Murfreesboro","Rutherford County","TN","Rutherford County Sheriff's Office","Sheriff","The Rutherford County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007123","TN0760000PRPO","Huntsville","Scott County","TN","Scott County Sheriff's Office","Sheriff","The Scott County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007124","TN0770000PRPO","Dunlap","Sequatchie County","TN","Sequatchie County Sheriff's Office","Sheriff","The Sequatchie County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007125","TN0780000PRPO","Sevierville","Sevier County","TN","Sevier County Sheriff's Office","Sheriff","The Sevier County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007126","TN0790000PRPO","Memphis","Shelby County","TN","Shelby County Sheriff's Office","Sheriff","The Shelby County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007127","TN0800000PRPO","Carthage","Smith County","TN","Smith County Sheriff's Office","Sheriff","The Smith County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007128","TN0810000PRPO","Dover","Stewart County","TN","Stewart County Sheriff's Office","Sheriff","The Stewart County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007129","TN0820000PRPO","Blountville","Sullivan County","TN","Sullivan County Sheriff's Office","Sheriff","The Sullivan County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007130","TN0830000PRPO","Gallatin","Sumner County","TN","Sumner County Sheriff's Office","Sheriff","The Sumner County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007131","TN0840000PRPO","Covington","Tipton County","TN","Tipton County Sheriff's Office","Sheriff","The Tipton County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007132","TN0850000PRPO","Hartsville","Trousdale County","TN","Trousdale County Sheriff's Office","Sheriff","The Trousdale County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007133","TN0860000PRPO","Erwin","Unicoi County","TN","Unicoi County Sheriff's Office","Sheriff","The Unicoi County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007134","TN0870000PRPO","Maynardville","Union County","TN","Union County Sheriff's Office","Sheriff","The Union County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007135","TN0880000PRPO","Spencer","Van Buren County","TN","Van Buren County Sheriff's Office","Sheriff","The Van Buren County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007136","TN0890000PRPO","McMinnville","Warren County","TN","Warren County Sheriff's Office","Sheriff","The Warren County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007137","TN0900000PRPO","Jonesborough","Washington County","TN","Washington County Sheriff's Office","Sheriff","The Washington County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007138","TN0910000PRPO","Waynesboro","Wayne County","TN","Wayne County Sheriff's Office","Sheriff","The Wayne County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007139","TN0920000PRPO","Dresden","Weakley County","TN","Weakley County Sheriff's Office","Sheriff","The Weakley County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007140","TN0930000PRPO","Sparta","White County","TN","White County Sheriff's Office","Sheriff","The White County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007141","TN0940000PRPO","Franklin","Williamson County","TN","Williamson County Sheriff's Office","Sheriff","The Williamson County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007142","TN0950000PRPO","Lebanon","Wilson County","TN","Wilson County Sheriff's Office","Sheriff","The Wilson County Sheriff's Office has access to a predictive analytics system developed by IBM to identify locations where vehicle crashes and DUIs are likely to occur. All 95 county sheriffs in the state access the system, which is managed by the Tennessee Highway Patrol.","County","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007143","XX0000129PRPO","Nashville","Davidson County","TN","Tennessee Highway Patrol","State Police/Highway Patrol","The Tennessee Highway Patrol and the Tennessee Department of Safety and Homeland Security manage a predictive analytics system created by IBM to identify locations where vehicle crashes and DUIs are likely to occur. It is shared with all 95 county sheriffs in the state.","Statewide","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007144","XX0000162PRPO","Nashville","Davidson County","TN","Tennessee Department of Safety and Homeland Security","State Police/Highway Patrol","The Tennessee Highway Patrol and the Tennessee Department of Safety and Homeland Security manage a predictive analytics system created by IBM to identify locations where vehicle crashes and DUIs are likely to occur. It is shared with all 95 county sheriffs in the state.","Statewide","Predictive Policing","","IBM","https://www.tn.gov/safety/news/2017/10/10/tennessee-highway-patrol-provides-predictive-analytics-software-to-all-tennessee-sheriffs--offices.html","","Tennessee Department of Safety and Homeland Security","","10/10/2017","https://www.documentcloud.org/documents/7031509-TITAN-Predictive-Analytics.html","","Tennessee Department of Safety and Homeland Security","","2014","https://fox17.com/news/local/tennessee-highway-patrol-uses-cognitive-analytics-to-predict-traffic-accidents","","Fox17","","05/09/2016",""
"AOS007145","CA0100500GDT","Fresno","Fresno County","CA","Fresno Police Department","Police","The Fresno Police Department has used ShotSpotter gunshot detection software since 2015.","Municipal","Gunshot Detection","","ShotSpotter","https://www.fresnobee.com/news/local/article200376204.html","","The Fresno Bee","","2/15/2018","https://abc30.com/shotspotter-fresno-police-department-crime-shooting-statistics/5217321/","","ABC 30","","03/25/2019","https://gvwire.com/2019/03/29/300k-to-expand-shotspotter-get-it-done-today/","","GV Wire","","03/29/2019",""
"AOS007146","FL0590100BWC","Altamonte Springs","Seminole County","FL","Altamonte Springs Police Department","Police","The Altamonte Springs Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.orlandosentinel.com/news/breaking-news/os-ne-bodycam-footage-suspect-drowning-retention-pond-20191115-ibs2d4ylcjcp7olxp5gdsdrkty-story.html","","New organization","","11/14/2019","https://www.altamonte.org/DocumentCenter/View/7021/Agenda-Packet-from-12-4-2018?bidId=","","Altamonte Springs Police Department site","","12/4/2018","","","","","",""
"AOS007147","CA0150000BWC","Bakersfield","Kern County","CA","Kern County Sheriff's Department","Sheriff","The Kern County Sheriff's Office received $135,000 in funding in 2017 from DOJ's Office of Justice Programs to implement a body-worn camera program.","County","Body-worn Cameras","","","https://bakersfieldnow.com/news/local/facebook-apologizes-and-restores-kcso-body-camera-footage-it-took-offline","","Bakersfield Now","","9/14/2018","https://bja.ojp.gov/funding/awards/2017-bc-bx-0012","","Dept. of Justice, Dept. Justice Assistance, Office of Justice Programs","","9/29/2017","https://www.kget.com/news/local-news/supervisors-approve-contract-that-will-outfit-all-kern-county-deputies-with-body-cameras/","","KGET","","06/08/2021",""
"AOS007148","VA1270000PRPO","Suffolk","","VA","Suffolk Police Department","Police","The Suffolk Police Department used predictive policing softwares since at least 2016.","Municipal","Predictive Policing","","","https://www.pilotonline.com/news/crime/article_9a5fb46f-9bf7-5aa6-99b4-e7fb0676cd29.html","","Pilot Online","","8/8/2016","https://issuu.com/cityofsuffolk/docs/2018_annual_report_3-4-2019_final","","ISSUU","","4/9/2019","","","","","",""
"AOS007149","AL0110500PRPO","Oxford","Calhoun County","AL","Oxford Police Department","Police","The Oxford Police Department started using PredPol (now Geolitica) predictive policing software in 2015.","Municipal","Predictive Policing","","Geolitica","https://www.al.com/news/anniston-gadsden/2015/05/forecasting_felonies_how_oxfor.html","","Alabama","","5/28/2015","https://abc3340.com/news/local/oxford-crime-down-significantly-police-using-new-methods","","abc 3340","","02/01/2019","","","","","",""
"AOS007150","FL0510000PRPO","New Port Richey","Pasco County","FL","Pasco County Sheriff's Office","Sheriff","According to the Tampa Bay Times, the Pasco County Sheriff's Office began using predictive policing techniques and technology in 2011.","County","Predictive Policing","","","https://www.tampabay.com/news/pasco/2020/09/03/pascos-sheriff-uses-data-to-guess-who-will-commit-crime-then-deputies-hunt-down-and-harass-them/","","Tampa Bay Times","","9/3/2020","https://projects.tampabay.com/projects/2020/investigations/police-pasco-sheriff-targeted/body-cam-footage/","","Tampa Bay Times","","9/3/20","https://www.documentcloud.org/documents/7047184-ILP-Manual-05-10-2018-Redacted.html#document/p1","","Pasco County Sheriff's Office","","2018",""
