Event,Type,Start Date,End Date,Description (long),Cost in Billion Dollars,Deaths
Colorado Hail Storm and Central Severe Weather,Severe Storm,8-May-17,11-May-17,"Hail storm and wind damage impacting several states including CO, OK, TX, NM, MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding $2.2 ($2.8) billion.",$4.30 ,0
Freeze/Cold Wave,Freeze,15-Dec-83,25-Dec-83,Severe freeze damages citrus crops across central/northern Florida. Associated cold wave over much of the U.S. causes over 100 deaths and additional damages.,$6.50 ,151
Groundhog Day Blizzard,Winter Storm,1-Feb-11,3-Feb-11,"A large winter storm impacted many central, eastern and northeastern states. The city of Chicago was brought to a virtual standstill as between 1 and 2 feet of snow fell over the area.",$2.60 ,36
"Hail, Tornadoes",Severe Storm,28-Apr-92,29-Apr-92,Severe Storms hit Oklahoma and Texas with tornadoes and hail,$2.20 ,0
Midwest and Ohio Valley Severe Weather,Severe Storm,27-Mar-20,28-Mar-20,"Severe weather caused damage across many Midwest and Ohio Valley states including Missouri, Oklahoma, Texas, Illinois, Indiana, Ohio, Arkansas, Kentucky, Tennessee, West Virginia and Pennsylvania. The states most affected from a combination of high winds and hail were Missouri, Ohio and Arkansas. There were also two dozen tornadoes across Iowa, Illinois, Indiana and Arkansas causing additional damage.",$3.10 ,0
Midwest Flooding,Flooding,1-Apr-08,30-Jun-08,"Heavy rain and flooding caused significant agricultural loss and property damage in IA, IL, IN, MO, MN, NE, and WI with IA being hardest hit with widespread rainfall totals ranging from 4 to over 16 inches.",$14.90 ,24
Midwest Tornado Outbreak,Severe Storm,6-Mar-17,8-Mar-17,"Tornado outbreak and wind damage across many Midwestern states (AR, IA, IL, KS, MI, MN, MO, NE, NY, OH, WI). Missouri and Illinois were impacted by numerous tornadoes while Michigan and New York were affected by destructive, straight-line winds following the storm system. Nearly one million customers lost power in Michigan alone due to sustained high winds, which affected several states from Illinois to New York.",$2.80 ,2
Midwest Tornadoes,Severe Storm,13-Apr-12,14-Apr-12,"Outbreak of tornadoes and severe weather over the midwest (OK, KS, NE, IA) with 98 confirmed tornadoes including many tornadoes that remained on the ground for an extended time - traveling tens of miles.",$1.50 ,6
Midwest Tornadoes and Severe Weather,Severe Storm,22-May-08,27-May-08,"Outbreak of tornadoes over the Midwest/Ohio Valley regions (IL, IN, IA, KS, MN, NE, OK, WY, CO) with 235 tornadoes confirmed.",$4.40 ,13
"Midwest, South and East Severe Weather",Severe Storm,9-Jun-09,12-Jun-09,"Sustained outbreak of thunderstorms and high winds from a strong derecho event over the central, southern, and eastern states (TX, OK, MO, NE, KS, AR, AL, MS, TN, NC, SC, KY, PA).",$1.90 ,0
Midwest/Mid-Atlantic Severe Weather,Severe Storm,6-Jun-08,12-Jun-08,"An outbreak of tornadoes and thunderstorms over the Midwest/Mid-Atlantic states (IA, IL, IN, KS, NE, MI, MN, MO, OK, WI, MD, VA, WV).",$2.40 ,18
Midwest/Ohio Valley Hail and Tornadoes,Severe Storm,6-Apr-01,11-Apr-01,"Storms, tornadoes, and hail in the states of TX, OK, KS, NE, IA, MO, IL, IN, WI, MI, OH, KY, WV, and PA, over a 6-day period.",$5.50 ,3
Midwest/Ohio Valley Severe Weather,Severe Storm,7-Apr-15,9-Apr-15,"Severe storms across the Midwest and Ohio Valley including the states (AR, IA, IL, IN, KS, KY, MI, MO, NC, OH, OK, PA, TN, TX, WI, WV). Large hail and high winds created the most damage across Missouri and Illinois.",$2.10 ,2
Midwest/Plains Tornadoes,Severe Storm,25-Apr-94,27-Apr-94,"Tornadoes and severe storms cause damage in states across the South, Southeast and Midwest. The states impacted include TX, OK, AR, CO, KS, NE, IA, SD, IL, IN, MN and MO.",$2.10 ,3
Midwest/Plains/East Tornadoes,Severe Storm,18-May-13,22-May-13,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Eastern states (GA, IA, IL, KS, MO, NY, OK, TX) with 59 confirmed tornadoes including the deadly tornado that impacted Moore, OK. Many destructive tornadoes remained on the ground for an extended time.",$3.20 ,27
Midwest/Plains/Northeast Tornadoes,Severe Storm,27-May-13,31-May-13,"Outbreak of tornadoes and severe weather over the Midwest, Plains and Northeast (IL, IN, KS, MO, NY, OK, TX) with 92 confirmed tornadoes including the deadly tornado that struck El Reno, OK. There was also significant damage resulting from hail and straight-line wind.",$2.40 ,10
Midwest/Plains/Southeast Drought,Drought,1-Mar-06,31-Aug-06,"Rather severe drought affected crops especially during the spring-summer, centered over the Great Plains region with other areas affected across portions of the south -- including states of ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, MS, AL, GA, FL, MT, WY, CO, NM.",$9.50 ,0
Midwest/Plains/Southeast Tornadoes,Severe Storm,2-Apr-82,4-Apr-82,"Tornadoes and severe weather affect the states (AL, AR, CO, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, OH, OK, PA, TN, TX, WI, WV) across the Midwest, Plains and Southeast.",$1.6*,33
Midwest/Southeast Tornadoes,Severe Storm,22-May-11,27-May-11,"Outbreak of tornadoes over central and southern states (MO, TX, OK, KS, AR, GA, TN, VA, KY, IN, IL, OH, WI, MN, PA) with an estimated 180 tornadoes. Notably, an EF-5 tornado struck Joplin, MO resulting in at least 160 deaths, making it the deadliest single tornado to strike the U.S. since modern tornado record keeping began in 1950.",$12.70 ,177
Midwest/Southeast Tornadoes,Severe Storm,14-Apr-11,16-Apr-11,"Outbreak of tornadoes over central and southern states (OK, TX, AR, MS, AL, GA, NC, SC, VA, PA) with an estimated 177 tornadoes.",$2.90 ,38
Midwest/Southeast Tornadoes,Severe Storm,25-Mar-09,28-Mar-09,"Outbreak of tornadoes over central and southern states (NE, KS, OK, IA, TX, LA, MS, AL, GA, TN, KY) with 56 tornadoes confirmed.",$2.40 ,0
Midwest/Southeast Tornadoes and Severe Weather,Severe Storm,18-Jun-11,22-Jun-11,"Outbreak of tornadoes over central states (OK, TX, KS, NE, MO, IA, IL) with an estimated 81 tornadoes. Additional wind and hail damage across the Southeast (TN, GA, NC, SC).",$2.20 ,3
"Midwest/Southeast/Northeast Winter Storm, Cold Wave",Winter Storm,8-Jan-82,16-Jan-82,"Winter storm and cold wave affect numerous states (AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV) across the Midwest, Southeast and Northeast.",$2.2*,85
"Mississippi River, Midwest and Southern Flooding",Flooding,15-Mar-19,31-Jul-19,"Additional major flooding impacted many Southern Plains states significantly affecting agriculture, roads, bridges, levees, dams and other assets across many cities and towns. The states most affected were Oklahoma, Nebraska, Missouri, Illinois, Kansas, Arkansas, Kentucky, Tennessee, Texas, Mississippi and Louisiana. Very high water levels also disrupted barge traffic along the Mississippi River, which negatively impacted a variety of dependent industries. Indiana and Ohio were also affected by persistent heavy rainfall that flooded farmland, which prevented and reduced crop planting by millions of acres.",$7.60 ,4
Missouri and Arkansas Flooding and Central Severe Weather,Flooding,25-Apr-17,7-May-17,"A period of heavy rainfall up to 15 inches over a multi-state region in the Midwest caused historic levels of flooding along many rivers. The flooding was most severe in Missouri, Arkansas and southern Illinois where levees were breached and towns were flooded. There was widespread damage to homes, businesses, infrastructure and agriculture. Severe storms also caused additional impacts during the flooding event across a number of central and southern states.",$2.20 ,20
North Central Severe Weather and Tornadoes,Severe Storm,15-May-17,18-May-17,"Severe weather and tornadoes cause impacts across numerous north central states. The states most impacted were Iowa, Illinois, Minnesota, and Wisconsin.",$1.2*,1
North Texas Hail Storm,Severe Storm,23-Mar-16,24-Mar-16,"Large hail and strong winds caused considerable damage in heavily populated areas of north Texas. This damage was most notable in the cities of Dallas, Fort Worth and Plano.",$2.70 ,0
"Northwest, Central, Eastern Winter Storm and Cold Wave",Winter Storm,10-Feb-21,19-Feb-21,"Historic cold wave and winter storm impacts many northwest, central and eastern states. Temperature departures exceeding 40.0 degrees F (22.2 degrees C) below normal occurred from Nebraska southward to Texas. The prolonged arctic air caused widespread power outages in Texas, as well as other southern states, with multiple days of sustained below-freezing temperatures. At the peak of the outage, nearly 10 million people were without power. Additional impacts were frozen water pipes, which burst upon thawing causing water damage to buildings. These extreme conditions also caused or contributed to the direct and indirect deaths of more than 210 people in Texas alone. This count does not include excess mortality that may be hundreds of additional deaths. There were also snow and ice impacts across numerous states including Oklahoma, Arkansas, Missouri, Illinois, Kentucky, Tennessee, Louisiana, Mississippi, Colorado, Oregon and Washington. This is now the costliest U.S. winter storm event on record, more than doubling the inflation-adjusted cost of the 'Storm of the Century' that occurred in March 1993.",$27.20 ,262
Numerous Wildfires,Wildfire,1-Jan-06,31-Dec-06,"Numerous wildfires driven by dry weather and high winds burned over 9.8 million acres, across the western half of the country including Alaska. This is the second highest annual total behind the 10.1 million acres burned in 2015 since record-keeping began in 1960. The most affected states were AK, AZ, CA, CO, FL, ID, MT, NM, NV, OK, OR, TX, WA, WY",$2.30 ,28
Oklahoma and Kansas Tornadoes,Severe Storm,3-May-99,6-May-99,"Outbreak of F4-F5 tornadoes hit the states of Oklahoma and Kansas, along with Texas and Tennessee, Oklahoma City area hardest hit.",$3.80 ,55
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather",Severe Storm,10-May-10,12-May-10,"An outbreak of tornadoes, hail, and severe thunderstorms occurred across Oklahoma, Kansas, and Texas in mid-May. Oklahoma was hardest hit with > $1.5 ($2.2) billion in damages.",$4.80 ,3
Plains Tornadoes and Central Severe Weather,Severe Storm,8-May-16,11-May-16,"Tornadoes and severe storms cause widespread damage across the Plains and Central states (NE, MO, TX, OK, KS, CO, IL, KY, TN) over a multi-day period. The damage from tornadoes and high wind was most costly in Nebraska and Missouri.",$2.30 ,2
"Rockies, Central and Northeast Tornadoes and Severe Weather",Severe Storm,26-May-19,29-May-19,"A four-day tornado outbreak impacts many states across the Rockies, Central and Northeast (CO, WY, NE, KS, OK, MO, IA, IL, IN, OH, PA and NJ). This outbreak produced 190 tornadoes in addition to hundreds of reports of damaging hail and straight-line thunderstorm winds. Of particular note was an EF-4 tornado that produced heavy damage near the city of Dayton, Ohio on May 27.",$5.70 ,3
Rockies/Central/East Severe Weather,Severe Storm,10-Jun-10,15-Jun-10,"Severe storms cause high wind and hail damage across numerous states including CO, NM, KS, OK, IL, IN, GA, SC and NC.",$1.3*,2
Severe Storms,Severe Storm,31-May-82,10-Jun-82,"Severe storms cause damage across the South, Southeast and Central regions. The states impacted include AR, IL, KY, IN, SC, GA and OH.",$1.6*,30
Severe Storms and Tornadoes,Severe Storm,8-Mar-06,13-Mar-06,"Outbreak of tornadoes over portions of the midwest and south during a week-long period-affecting the states of AL, AR, KY, MS, TN, TX, IN, KS, MO, and OK.",$2.10 ,10
"Severe Storms, Flash Floods, Hail, Tornadoes",Severe Storm,5-May-81,10-May-81,"Severe storms cause damage across the Midwest and South. The states most impacted include TX, OK, KS, AL and LA.",$1.4*,20
"Severe Storms, Hail",Severe Storm,19-Jun-92,20-Jun-92,Severe storms with hail hit Kansas and Oklahoma,$1.7*,0
"Severe Storms, Hail, Tornadoes",Severe Storm,21-May-04,27-May-04,"Severe storms including tornadoes and hail cause damage across the Midwest, South, Southeast and Northeast regions. The states impacted include IA, IL, IN, KY, MI, MO, NC, NE, NY, OK, OH and WI.",$1.70 ,4
Severe Storms/Tornadoes,Severe Storm,3-May-03,10-May-03,"Numerous tornadoes over the midwest, Mississippi valley, OH/TN valleys, and portions of the southeast, with a modern record one-week total of approximately 400 tornadoes reported",$7.10 ,51
South and Southeast Severe Weather,Severe Storm,7-May-19,13-May-19,"Persistent severe storms impacted numerous states from Texas to North Carolina (TX, OK, KS, AR, LA, MS, AL, NC). Tornadoes and damaging hail particularly affected Texas, Louisiana and North Carolina focused across the Raleigh metro region.",$1.90 ,0
South and Southeast Severe Weather,Severe Storm,20-Apr-17,22-Apr-17,"Severe weather including hail, high winds and several tornadoes impacted Oklahoma, Texas, Tennessee, South Carolina, North Carolina and Virginia. These conditions caused damage to homes, businesses, vehicles and other infrastructure.",$1.2*,0
South Plains Severe Weather,Severe Storm,5-May-95,7-May-95,"Torrential rains, hail, and tornadoes across Texas-Oklahoma and southeast Louisiana-southern Mississippi, with Dallas and New Orleans areas (10-25 inch rains in 5 days) hardest hit.",$11.40 ,32
"South, Central and Eastern Severe Weather",Severe Storm,20-May-20,23-May-20,"A combination of thunderstorm high winds, hail and tornadoes affected numerous Southern, Central and Eastern states. The states most affected included Texas, Illinois and North Carolina with damage to homes, businesses and vehicles. Oklahoma, Arkansas, Indiana, Tennessee, Alabama, Georgia, Florida and South Carolina.",$1.90 ,2
South/Southeast Severe Weather,Severe Storm,26-Mar-17,28-Mar-17,"Large hail and high winds in Texas north of the Dallas metro region caused widespread damage to structures and vehicles. Severe storms also caused damage across several other states (OK, TN, KY, MS, AL) due to the combination of high winds, hail and tornadoes.",$3.50 ,0
South/Southeast Severe Weather,Severe Storm,18-Apr-15,20-Apr-15,"Severe storms across the South and Southeastern states (AL, AR, FL, GA, KS, LA, MS, NC, OK, SC, TN, TX). High winds and severe hail created the most significant damage in Texas.",$1.70 ,0
South/Southeast Tornadoes,Severe Storm,26-Apr-16,2-May-16,Large outbreak of tornadoes affects numerous states across the South and Southeast. Additional damage also from large hail and straight-line wind during the multi-day thunderstorm event.,$3.20 ,6
Southeast and Eastern Tornado Outbreak,Severe Storm,12-Apr-20,13-Apr-20,"Outbreak of at least 140 tornadoes from Texas to Maryland including 3 EF4s, 12 EF3s, 20 EF2s, 77 EF1s and 28 EF0s. Damage was extensive and highly destructive to many homes, vehicles and businesses across more than a dozen Southeast and Eastern states.",$4.20 ,35
Southeast Severe Weather and Tornadoes,Severe Storm,4-Apr-17,6-Apr-17,"Severe weather and tornadoes impact numerous southern and eastern states. The states most impacted include Alabama, Georgia and Kentucky.",$1.30 ,1
Southeast Tornado Outbreak,Severe Storm,4-Apr-22,6-Apr-22,"A tornado outbreak on April 4-6 with a combined 100 preliminary tornadoes reported. The tornadoes occurred across Texas, Louisiana, Mississippi, Alabama, Georgia, Florida and South Carolina. Many of these tornadoes were clustered along the southern regions of Mississippi, Alabama, Georgia and South Carolina. During this three-day period many of these tornadoes were rated as either EF-1 or EF-0, but there were also nine EF-2, three EF-3 and one EF-4 tornado. This EF-4 occurred in Pembroke, Georgia on April 5th with winds of 185 mph that destroyed several neighborhoods. Many of the other tornadoes across the South caused considerable damage to homes, businesses, vehicles, and other infrastructure.",$1.50 ,3
Southeast/Midwest Tornadoes,Severe Storm,8-Apr-11,11-Apr-11,"Outbreak of tornadoes over central and southern states (NC, SC, TN, AL, TX, OK, KS, IA, WI) with an estimated 59 tornadoes.",$3.10 ,0
Southeast/Ohio Valley Severe Weather,Severe Storm,10-Feb-09,11-Feb-09,"Complex of severe thunderstorms and high winds across the region (TN, KY, OK, OH, VA, WV, PA).",$2.60 ,10
Southeast/Ohio Valley/Midwest Tornadoes,Severe Storm,25-Apr-11,28-Apr-11,"Outbreak of tornadoes over central and southern states (AL, AR, LA, MS, GA, TN, VA, KY, IL, MO, OH, TX, OK) with an estimated 343 tornadoes. The deadliest tornado of the outbreak, an EF-5, hit northern Alabama, killing 78 people. Several major metropolitan areas were directly impacted by strong tornadoes including Tuscaloosa, Birmingham, and Huntsville in Alabama and Chattanooga, Tennessee, causing the estimated damage costs to soar.",$14.30 ,321
Southern and Central Severe Weather,Severe Storm,1-May-22,3-May-22,"Severe weather producing high winds and large, damaging hail impacted several Southern and Central states including Texas, Oklahoma, Ohio and Pennsylvania. Many homes, businesses, vehicles and agriculture assets were damaged.",$1.20 ,1
Southern and Eastern Severe Weather,Severe Storm,2-Mar-23,3-Mar-23,"Severe storms impact numerous southern and eastern states including Texas, Alabama, Mississippi, Tennessee, Kentucky, Indiana and Ohio. Impacts from high wind and tornadoes cause widespread damage to homes, vehicles, businesses, government buildings and infrastructure.",$6.20 ,13
Southern Derecho and Severe Storms,Severe Storm,1-May-89,6-May-89,"A derecho caused high wind damage across much of Texas into Louisiana. Severe storms cause damage in states across the South and Southeast. The states impacted include OK, TX, LA, MS, GA, SC, NC and VA.",$1.4*,21
Southern Drought and Heat Wave,Drought,1-Jun-98,31-Aug-98,"Severe drought and heat wave from Texas/Oklahoma eastward to the Carolinas. The states impacted include AL, AR, FL, GA, LA, MS, NC, OK, SC, TN, TX, and VA.",$6.90 ,200
Southern Flooding,Flooding,11-May-90,19-May-90,"Torrential rains cause flooding along the Trinity, Red, and Arkansas Rivers in TX, OK, LA, and AR",$2.50 ,13
Southern Hail Storms,Severe Storm,23-Sep-23,24-Sep-23,"Hail storms impact Texas, Oklahoma and Missouri. The most damaging impacts were in central Texas including Austin, Georgetown, Round Rock and Arlington on September 24. Towns north of Austin in particular were impacted by baseball sized hail causing damage to homes, vehicles and businesses.",$1.70 ,0
Southern Plains Drought,Drought,1-Mar-96,31-Aug-96,Severe drought in agricultural regions of southern plains--Texas and Oklahoma most severely affected,$3.70 ,0
Southern Plains Tornadoes,Severe Storm,6-May-15,10-May-15,"Tornado outbreak across the Southern Plain states (IA, KS, NE, OK, CO, SD, TX) with 122 tornadoes. The most costly damage occurred across Texas and Oklahoma.",$1.70 ,4
Southern Plains/Midwest/Northeast Severe Weather,Severe Storm,25-May-12,30-May-12,"Severe storms over the southern plains, midwest and northeast (TX, OK, KS, MN, PA, NY) with 27 confirmed tornadoes. Significant damage also from severe hail and straight-line winds.",$3.20 ,1
Southern Plains/Southwest Drought and Heat Wave,Drought,1-Mar-11,31-Aug-11,"Drought and heat wave conditions created major impacts across Texas, Oklahoma, New Mexico, Arizona, southern Kansas, and western Louisiana. In Texas and Oklahoma, a majority of range and pastures were classified in ""very poor"" condition for much of the 2011 crop growing season.",$17.10 ,95
Southern Severe Weather,Severe Storm,11-Jun-23,14-Jun-23,"Numerous southern states including Texas, Louisiana, Mississippi, Alabama, Georgia, Tennessee, Arkansas, South Carolina and Florida were impacted by hail, tornadoes and high winds. These storms caused damage to many homes, vehicles and businesses across several days of severe storm activity.",$4.20 ,0
Southern Severe Weather,Severe Storm,11-Apr-22,13-Apr-22,"Severe weather including hundreds of damaging wind reports and dozens of tornadoes occurred across Arkansas, Louisiana, Mississippi, Alabama, Texas, Tennessee and Kentucky. On April 11, tornadoes and damaging hail was focused across central Arkansas causing damage to homes, vehicles, outbuildings and farms and vegetation. April 12 and 13 produced widespread high wind reports and dozens of tornadoes across central Mississippi, northeast Arkansas and west-central Kentucky. These tornadoes produced damage to homes, businesses, farms, outbuildings and other infrastructure. There was also considerable hail damage across Wisconsin and Minnesota.",$2.90 ,1
Southern Severe Weather,Severe Storm,21-Apr-20,23-Apr-20,"Severe weather caused damage across many Southern states. The states most affected from a combination of high winds, hail and tornadoes included Texas, Oklahoma, Louisiana, Mississippi, Alabama, Georgia, Florida and Virginia. The states with the highest damage totals for the event were Oklahoma, Louisiana and Texas.",$1.70 ,3
Southern Severe Weather,Severe Storm,24-Feb-13,25-Feb-13,"Severe weather produced severe hail and wind damage across several southern states including Louisiana, Oklahoma and Texas. The damage was most focused in Louisiana near New Orleans, as severe hail caused significant damage costs to many homes, vehicles and businesses.",$1.3*,1
Southern Severe Weather,Severe Storm,9-Apr-08,11-Apr-08,"Severe storms affect Arkansas, Oklahoma and Texas across the South.",$1.50 ,2
Southern Tornadoes and Southeast Severe Weather,Severe Storm,2-May-21,4-May-21,"Tornadoes and severe storms with widespread high wind and large hail cause damage across many Southern and Southeastern states including Mississippi, Texas, Arkansas, Alabama, Georgia, South Carolina, North Carolina, and Tennessee. There were over 111 confirmed tornadoes largely clustered in central Mississippi and surrounding states.",$1.50 ,4
