YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2017,2017,OK,Oklahoma,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,12.3,12.3,,,11.2,13.6,Gender,Female
2015,2015,OK,Oklahoma,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,9.5,9.5,,,8.5,10.6,Overall,Overall
2017,2017,OK,Oklahoma,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Crude Prevalence,86.9,86.9,,,83.3,89.9,Overall,Overall
2017,2017,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.9,4.9,,,3.7,6.1,Race/Ethnicity,"Black, non-Hispanic"
2017,2017,OK,Oklahoma,BRFSS,Chronic Kidney Disease,Prevalence of chronic kidney disease among adults aged >= 18 years,,%,Age-adjusted Prevalence,3.6,3.6,,,3,4.5,Gender,Male
2014,2014,OK,Oklahoma,BRFSS,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,,Number,Mean,4.5,4.5,,,4.2,4.7,Overall,Overall
2017,2017,OK,Oklahoma,BRFSS,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,,%,Crude Prevalence,89.3,89.3,,,87.6,90.8,Gender,Female
2017,2017,OK,Oklahoma,BRFSS,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,,%,Crude Prevalence,39.2,39.2,,,36.9,41.5,Gender,Male
2017,2017,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,5.4,5.4,,,4,6.7,Race/Ethnicity,Hispanic
2017,2017,OK,Oklahoma,BRFSS,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,,%,Crude Prevalence,20.9,20.9,,,18.5,23.6,Gender,Male
2017,2017,OK,Oklahoma,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,,%,Crude Prevalence,19.2,19.2,,,17.5,21,Gender,Female
2017,2017,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,Number,Number,400,400,,,,,Gender,Male
2017,2017,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,Number,Number,670,670,,,,,Overall,Overall
2017,2017,OK,Oklahoma,NVSS,Overarching Conditions,Premature mortality among adults aged 45-64 years,,"cases per 100,000",Age-adjusted Rate,1144,1144,,,1071,1217,Race/Ethnicity,American Indian or Alaska Native
2017,2017,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,Number,Number,10772,10772,,,,,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,,Number,Mean,4.7,4.7,,,3.8,5.6,Gender,Male
2017,2017,OK,Oklahoma,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,9.6,9.6,,,8.8,10.6,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,Crude Prevalence,28.3,28.3,,,27,29.6,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,,%,Crude Prevalence,73.9,73.9,,,65.6,80.8,Gender,Female
2016,2016,OK,Oklahoma,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,,%,Crude Prevalence,77.5,77.5,,,66.2,85.9,Race/Ethnicity,Hispanic
2016,2016,OK,Oklahoma,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,11.9,11.9,,,9.1,15.5,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,,%,Age-adjusted Prevalence,37.1,37.1,,,30,44.8,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,,%,Age-adjusted Prevalence,13.2,13.2,,,11.6,14.9,Gender,Female
2015,2015,OK,Oklahoma,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,Crude Prevalence,32.4,32.4,,,30.5,34.3,Gender,Female
2016,2016,OK,Oklahoma,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Age-adjusted Prevalence,36,36,,,29.6,42.9,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Oral Health,All teeth lost among adults aged >= 65 years,,%,Crude Prevalence,21.4,21.4,,,19.4,23.5,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Current health care coverage among women aged 18-44 years,,%,Crude Prevalence,90.7,90.7,,,83.9,94.8,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,OK,Oklahoma,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.46,0.47,Overall,Overall
2016,2016,OK,Oklahoma,ACS 1-Year Estimates,Overarching Conditions,Poverty,,%,Crude Prevalence,17.6,17.6,,,17.2,18,Gender,Female
2016,2016,OK,Oklahoma,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Age-adjusted Prevalence,59.4,59.4,,,48.3,69.5,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,,%,Crude Prevalence,9.6,9.6,,,6.2,14.6,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,,%,Crude Prevalence,19.7,19.7,,,18.4,21.2,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Oral Health,Six or more teeth lost among adults aged >= 65 years,,%,Age-adjusted Prevalence,56.1,56.1,,,46.3,65.5,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Crude Rate,20,20,,,18,22,Gender,Male
2016,2016,OK,Oklahoma,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,Number,Number,263,263,,,,,Race/Ethnicity,American Indian or Alaska Native
2016,2016,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,33.6,33.6,,,31.3,36.1,Gender,Male
2016,2016,OK,Oklahoma,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.9,9.9,,,8.9,10.8,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,,%,Crude Prevalence,27.5,27.5,,,23.5,31.9,Overall,Overall
2015,2015,OK,Oklahoma,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,9.5,9.5,,,8.3,10.7,Race/Ethnicity,"White, non-Hispanic"
2015,2015,OK,Oklahoma,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,,,-,No data available,,,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,45,45,,,42.9,47.1,Gender,Female
2015,2015,OK,Oklahoma,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.8,10.8,,,9.9,11.6,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,,Number,Mean,4.3,4.3,,,3.2,5.4,Race/Ethnicity,"Other, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,,%,Crude Prevalence,10,10,,,5.6,17.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2015,2015,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.4,3.4,,,3,3.9,Gender,Male
2015,2015,OK,Oklahoma,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Crude Prevalence,42.6,42.6,,,36,49.4,Overall,Overall
2016,2016,OK,Oklahoma,PRAMS,Tobacco,Cigarette smoking before pregnancy,,%,Crude Prevalence,23.3,23.3,,,20.5,26.3,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,,%,Age-adjusted Prevalence,23.7,23.7,,,17.6,30.9,Race/Ethnicity,Hispanic
2016,2016,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Crude Rate,335.5,335.5,,,327.3,343.6,Gender,Male
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,,%,Crude Prevalence,50.7,50.7,,,43.7,57.7,Race/Ethnicity,Hispanic
2015,2015,OK,Oklahoma,State Inpatient Data,Asthma,Hospitalizations for asthma,,,Number,,,-,No data available,,,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,,%,Crude Prevalence,30.3,30.3,,,28.5,32,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,,%,Crude Prevalence,60.5,60.5,,,58.7,62.3,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,,%,Crude Prevalence,59,59,,,55,62.8,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Age-adjusted Prevalence,57.9,57.9,,,50.5,65.1,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from heart failure,,Number,Number,2813,2813,,,,,Gender,Female
2015,2015,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,Number,Number,154,154,,,,,Race/Ethnicity,Hispanic
2015,2015,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,Number,Number,30,30,,,,,Race/Ethnicity,Hispanic
2016,2016,OK,Oklahoma,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Crude Prevalence,65.5,65.5,,,60.4,70.2,Overall,Overall
2014,2014,OK,Oklahoma,ACS 1-Year Estimates,Overarching Conditions,Poverty,,%,Crude Prevalence,14.9,14.9,,,14.5,15.3,Gender,Male
2016,2016,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,39.6,39.6,,,33,46.5,Race/Ethnicity,"Black, non-Hispanic"
2014,2014,OK,Oklahoma,SEDD; SID,Asthma,Emergency department visit rate for asthma,,,Number,,,-,No data available,,,Overall,Overall
2014,2014,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,,Number,32,32,,,,,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,,%,Crude Prevalence,0.9,0.9,,,0.6,1.4,Gender,Female
2016,2016,OK,Oklahoma,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,,%,Crude Prevalence,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Race/Ethnicity,Hispanic
2014,2014,OK,Oklahoma,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,7.9,7.9,,,6.8,9.2,Gender,Female
2014,2014,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,,Number,589,589,,,,,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,70,70,,,64.9,74.7,Overall,Overall
2014,2014,OK,Oklahoma,NVSS,Asthma,Asthma mortality rate,,,Number,22,22,,,,,Gender,Male
2014,2014,OK,Oklahoma,NVSS,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,,Number,29,29,,,,,Gender,Male
2016,2016,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Crude Prevalence,34.6,34.6,,,27.5,42.5,Race/Ethnicity,"Multiracial, non-Hispanic"
2014,2014,OK,Oklahoma,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,59.2,59.2,,,57.6,60.8,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.5,4.5,,,4.2,4.9,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,,%,Crude Prevalence,37.5,37.5,,,30.7,44.8,Race/Ethnicity,"Multiracial, non-Hispanic"
2013,2013,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Crude Rate,11,11,,,9.5,12.4,Gender,Female
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,,%,Crude Prevalence,19.9,19.9,,,15.8,24.7,Race/Ethnicity,"Other, non-Hispanic"
2013,2013,OK,Oklahoma,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,Crude Prevalence,29.2,29.2,,,27.9,30.6,Race/Ethnicity,"White, non-Hispanic"
2013,2013,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,,Number,31,31,,,,,Race/Ethnicity,Hispanic
2013,2013,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,,Number,412,412,,,,,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,43.1,43.1,,,35.5,51,Race/Ethnicity,Hispanic
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,,Number,Mean,4.6,4.6,,,4.3,4.9,Overall,Overall
2013,2013,OK,Oklahoma,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Age-adjusted Prevalence,,,-,No data available,,,Overall,Overall
2013,2013,OK,Oklahoma,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,,Number,2857,2857,,,,,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Current health care coverage among women aged 18-44 years,,%,Crude Prevalence,68.1,68.1,,,56.8,77.5,Race/Ethnicity,"Black, non-Hispanic"
2013,2013,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from heart failure,,,Number,2543,2543,,,,,Gender,Male
2013,2013,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Crude Rate,328.4,328.4,,,320.2,336.5,Gender,Male
2016,2016,OK,Oklahoma,NVSS,Overarching Conditions,Premature mortality among adults aged 45-64 years,,"cases per 100,000",Age-adjusted Rate,656.3,656.3,,,634,678.6,Gender,Female
2016,2016,OK,Oklahoma,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,,%,Crude Prevalence,64.7,64.7,,,59.9,69.2,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,NVSS,Overarching Conditions,Premature mortality among adults aged 45-64 years,,Number,Number,8671,8671,,,,,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Oral Health,Visits to dentist or dental clinic among adults aged >= 18 years,,%,Age-adjusted Prevalence,54.6,54.6,,,51.9,57.1,Gender,Male
2016,2016,OK,Oklahoma,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Age-adjusted Prevalence,63.6,63.6,,,61.5,65.7,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,"cases per 100,000",Age-adjusted Rate,189.9,189.9,,,184.5,195.3,Gender,Female
2013,2013,OK,Oklahoma,NVSS,Overarching Conditions,Premature mortality among adults aged 45-64 years,,,Number,5137,5137,,,,,Gender,Male
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Self-rated health status among women aged 18-44 years,,%,Crude Prevalence,88.1,88.1,,,85.6,90.2,Race/Ethnicity,"White, non-Hispanic"
2013,2013,OK,Oklahoma,PRAMS,Alcohol,Alcohol use before pregnancy,,%,Crude Prevalence,32.2,32.2,,,22.6,43.5,Race/Ethnicity,Hispanic
2013,2013,OK,Oklahoma,BRFSS,Tobacco,Current smoking among adults aged >= 18 years,,%,Crude Prevalence,25.8,25.8,,,23.8,27.8,Gender,Male
2012,2012,OK,Oklahoma,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,,%,Crude Prevalence,11.2,11.2,,,8.2,15.2,Race/Ethnicity,Hispanic
2016,2016,OK,Oklahoma,BRFSS,Oral Health,No tooth loss among adults aged 18-64 years,,%,Crude Prevalence,61.4,61.4,,,52.7,69.4,Race/Ethnicity,"Multiracial, non-Hispanic"
2016,2016,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,Number,Number,702,702,,,,,Race/Ethnicity,American Indian or Alaska Native
2016,2016,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),,Number,Number,144,144,,,,,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Older Adults,Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services,,%,Crude Prevalence,20.7,20.7,,,12.8,31.7,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,30.7,30.7,,,24.8,37.6,Race/Ethnicity,American Indian or Alaska Native
2016,2016,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,335,335,,,326.7,343.3,Gender,Male
2016,2016,OK,Oklahoma,BRFSS,Older Adults,Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services,,%,Age-adjusted Prevalence,21.8,21.8,,,14.3,31.9,Race/Ethnicity,"Other, non-Hispanic"
2012,2012,OK,Oklahoma,NVSS,Asthma,Asthma mortality rate,,,Number,54,54,,,,,Overall,Overall
2012,2012,OK,Oklahoma,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.72,0.72,,,,,Overall,Overall
2012,2012,OK,Oklahoma,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,,Number,82,82,,,,,Race/Ethnicity,Hispanic
2012,2016,OK,Oklahoma,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,6,6,,,,,Race/Ethnicity,Hispanic
2016,2016,OK,Oklahoma,BRFSS,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,,%,Crude Prevalence,46.5,46.5,,,36.5,56.8,Race/Ethnicity,"Other, non-Hispanic"
2012,2012,OK,Oklahoma,PRAMS,Reproductive Health,Postpartum checkup,,%,Crude Prevalence,82.4,82.4,,,72.9,89,Race/Ethnicity,Hispanic
2016,2016,OK,Oklahoma,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,39.7,39.7,,,31.9,48.1,Gender,Male
2012,2016,OK,Oklahoma,Death Certificate,Cancer,"Melanoma, mortality",,,Average Annual Number,4,4,,,,,Race/Ethnicity,American Indian or Alaska Native
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Prevalence of sufficient sleep among adults aged >= 18 years,,%,Age-adjusted Prevalence,61,61,,,58.4,63.5,Gender,Male
2016,2016,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,,%,Crude Prevalence,70.1,70.1,,,59,79.2,Race/Ethnicity,Hispanic
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Self-rated health status among women aged 18-44 years,,%,Crude Prevalence,87.8,87.8,,,78.9,93.2,Race/Ethnicity,"Black, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,,%,Crude Prevalence,28.7,28.7,,,27.2,30.4,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,,%,Age-adjusted Prevalence,25.1,25.1,,,19,32.4,Gender,Male
2011,2011,OK,Oklahoma,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Crude Prevalence,11.1,11.1,,,10.3,12,Overall,Overall
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,,Number,Age-adjusted Mean,3,3,,,2.6,3.3,Race/Ethnicity,"White, non-Hispanic"
2016,2016,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,80.7,80.7,,,75.4,85.1,Race/Ethnicity,Hispanic
2011,2011,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,,Number,20,20,,,,,Race/Ethnicity,Hispanic
2016,2016,OK,Oklahoma,BRFSS,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.4,4.4,,,4.1,4.8,Race/Ethnicity,"White, non-Hispanic"
2011,2011,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,,,Number,4973,4973,,,,,Gender,Male
2011,2011,OK,Oklahoma,NVSS,Chronic Kidney Disease,Mortality with end-stage renal disease,,,Number,3489,3489,,,,,Overall,Overall
2015,2015,OK,Oklahoma,BRFSS,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,,Number,Age-adjusted Mean,6,6,,,5.1,7,Gender,Female
2011,2011,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from heart failure,,,Number,256,256,,,,,Race/Ethnicity,"Black, non-Hispanic"
2011,2011,OK,Oklahoma,BRFSS,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,,%,Crude Prevalence,40.4,40.4,,,38.5,42.2,Gender,Female
2010,2010,OK,Oklahoma,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic"
2015,2015,OK,Oklahoma,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who are obese,,%,Age-adjusted Prevalence,27.4,27.4,,,24.5,30.5,Gender,Male
2010,2010,OK,Oklahoma,NVSS,Cardiovascular Disease,Mortality from heart failure,,,Number,5170,5170,,,,,Overall,Overall
2009,2009,OK,Oklahoma,"NVSS, Mortality",Overarching Conditions,Life expectancy at age 65 years,,Years,Number,16.4,16.4,,,,,Gender,Male
2009,2013,OK,Oklahoma,Death Certificate,Cancer,"Cancer of the prostate, mortality",,,Average Annual Number,20,20,,,,,Race/Ethnicity,American Indian or Alaska Native
2009,2013,OK,Oklahoma,Death Certificate,Cancer,"Cancer of the oral cavity and pharynx, mortality",,,Average Annual Number,114,114,,,,,Overall,Overall
2009,2013,OK,Oklahoma,Death Certificate,Cancer,"Invasive cancer (all sites combined), mortality",,,Average Annual Number,59,59,,,,,Race/Ethnicity,Asian or Pacific Islander
2015,2015,OK,Oklahoma,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who are obese,,%,Crude Prevalence,40,40,,,36.4,43.8,Gender,Female
2018,2018,OK,Oklahoma,BRFSS,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,,%,Crude Prevalence,33.8,33.8,,,29.6,38.3,Gender,Male
2015,2015,OK,Oklahoma,BRFSS,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,,%,Crude Prevalence,34.4,34.4,,,32.5,36.4,Gender,Female
2015,2015,OK,Oklahoma,BRFSS,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",,%,Age-adjusted Prevalence,,,-,No data available,,,Gender,Male
