Season,SeasonStartYear,PlayoffYear,SeasonStatus,PlayerLeaderboardName,Player,TripleDoubles,IsTiedLeader,TeamAbbrev,Team,PlayoffQualification,PlayoffRoundReached,FinalPlayoffResult
2015-16,2015,2016,Completed,R. Westbrook,Russell Westbrook,18,False,OKC,Oklahoma City Thunder,Made Playoffs,First Round,First Round
2016-17,2016,2017,Completed,R. Westbrook,Russell Westbrook,42,False,OKC,Oklahoma City Thunder,Made Playoffs,First Round,First Round
2017-18,2017,2018,Completed,R. Westbrook,Russell Westbrook,25,False,OKC,Oklahoma City Thunder,Made Playoffs,First Round,First Round
2018-19,2018,2019,Completed,R. Westbrook,Russell Westbrook,34,False,OKC,Oklahoma City Thunder,Made Playoffs,First Round,First Round
2019-20,2019,2020,Completed,L. Dončić,Luka Doncic,17,False,DAL,Dallas Mavericks,Made Playoffs,First Round,First Round
2020-21,2020,2021,Completed,R. Westbrook,Russell Westbrook,38,False,WAS,Washington Wizards,Made Playoffs,First Round,First Round
2021-22,2021,2022,Completed,N. Jokić,Nikola Jokic,19,False,DEN,Denver Nuggets,Made Playoffs,First Round,First Round
2022-23,2022,2023,Completed,N. Jokić,Nikola Jokic,29,False,DEN,Denver Nuggets,Made Playoffs,NBA Finals,Champion
2023-24,2023,2024,Completed,D. Sabonis,Domantas Sabonis,26,False,SAC,Sacramento Kings,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
2024-25,2024,2025,Completed,N. Jokić,Nikola Jokic,34,False,DEN,Denver Nuggets,Made Playoffs,First Round,First Round
2025-26,2025,2026,Season In Progress,N. Jokić,Nikola Jokic,34,False,DEN,Denver Nuggets,Not Yet Available,Not Yet Available,Not Yet Available
