name,Nationality,Current status,gender,Build,First appeared,Last appeared,Affiliation,Title,Rank,Date of death,First mentioned,Last mentioned,Date of birth,Eyes,Ajah,hair,height_in,Occupation,Clan,Sept,Society,Weight,Race,Hair color,Eye color,feet,inches,birth_age,death_age,birth_year,death_year,years_alive,series
Aeron,Aiel,Alive,Female,NA,TFOH 23,TPOD Prologue,Car'a'carn,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Wise One,Nakai,Black Water,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Afara,Unknown nationality,Unknown,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,LOC 15,LOC 15,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Agirin,Aiel,Dead,Female,NA,NA,NA,Car'a'carn,NA,NA,999 NE,ACOS 2,ACOS 2,NA,NA,NA,NA,NA,NA,Daryne,Shelan,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NE,NA,999,NA,wot
Marisa Ahan,Andoran,Alive,Female,NA,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Mistress Ahan,Andoran,Alive,Female,NA,TSR 43,NA,Two Rivers,NA,NA,NA,NA,TSR 43,NA,NA,NA,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aiko,Kandori,Alive,Female,Plump,NS 24,NS 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Maid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Lelaine Akashi,Kandori,Alive,Female,Slender,NS 11,AMOL 37,White Tower,First Selector,Aes Sedai,NA,NA,NA,NA,"Dark, Penetrating",Blue Ajah,NA,NA,Sitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Carlys Ankerin,Andoran,Alive,Female,NA,LOC 1,LOC 2,House Marne,NA,NA,NA,NA,COT Prologue,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Milla al'Azar,Andoran,Alive,Female,NA,LOC Prologue,LOC Prologue,Two Rivers,Wisdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,Healer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Jerilin al'Caar,Andor,Alive,Female,Skinny,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Nela al'Caar,Andoran,Alive,Female,NA,TSR 45,TSR 45,Two Rivers,NA,NA,NA,TGH 23,NA,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Mistress al'Donel,Andoran,Alive,Female,NA,TEOTW 1,TEOTW 1,Two Rivers,NA,NA,NA,NA,TOM 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Eleyan al'Landerin,Farashelle,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TGS 26,TGS 26,NA,NA,Green Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Elnore al'Meara,Andoran,Dead,Female,NA,NA,NA,Two Rivers,Women's Circle Member,NA,NA,NA,NA,NA,NA,NA,NA,NA,Farmer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Nynaeve al'Meara,Andoran,Alive,Female,Slender,TEOTW Ravens,AMOL Epilogue,NA,Queen,Aes Sedai,NA,NA,NA,974 NE,Deep Brown,Yellow Ajah,Dark,64,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NE,NA,974,NA,NA,wot
Astelle al'Seen,Andoran,Alive,Female,NA,TSR 32,TSR 32,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Elisa al'Seen,Andoran,Alive,Female,NA,TSR 32,TSR 32,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Susa al'Seen,Andoran,Alive,Female,Slight,LOC 10,LOC 11,White Tower,NA,Novice,NA,NA,TPOD 30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Mistress al'Taron,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TSR 43,TSR 43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Joiya al'Thor,Andoran,Foreseen,Female,NA,TDR 22,TDR 22,Two Rivers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Kari al'Thor,Andoran,Dead,Female,NA,NA,NA,Two Rivers,NA,NA,984 NE,TEOTW 6,LOC 16,NA,Gray,NA,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,984,NA,wot
Alene al'Vere,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW Ravens,WH 26,969 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,969,NA,NA,wot
Berowyn al'Vere,Andoran,Alive,Female,NA,NA,NA,Two Rivers,NA,NA,NA,TEOTW Ravens,WH 26,965 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,965,NA,NA,wot
Egwene al'Vere,Andoran,Dead,Female,Slender,TEOTW Ravens,AMOL 37,White Tower,Amyrlin Seat,Aes Sedai,1000 NE,NA,AMOL Epilogue,981 NE,Brown,No Ajah,Brown,63,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NE,NE,981,1000,19,wot
Elisa al'Vere,Andoran,Alive,Female,NA,TEOTW Ravens,TEOTW Ravens,Two Rivers,NA,NA,NA,NA,WH 26,972 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,972,NA,NA,wot
Loise al'Vere,Andoran,Alive,Female,NA,TEOTW Ravens,TEOTW Ravens,Two Rivers,NA,NA,NA,NA,WH 26,975 NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,975,NA,NA,wot
Marin al'Vere,Andoran,Alive,Female,NA,TEOTW 2,TSR 56,Two Rivers,Women's Circle Member,NA,NA,TEOTW 1,AMOL 1,940 NE,NA,NA,Gray,64,Innkeeper,NA,NA,NA,Slender,NA,NA,NA,5,4,NE,NA,940,NA,NA,wot
Ala,NA,Dead,Female,NA,NA,NA,NA,NA,NA,NA,TSR 43,TSR 43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alainia,Amadician,Alive,Female,Plump,KOD 28,KOD 28,Faile Bashere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Silversmith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alar,NA,Alive,Female,NA,TGH 36,LOC 20,NA,Eldest,Elder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alarys,Aiel,Alive,Female,NA,ACOS Prologue,COT 9,Sevanna,NA,NA,NA,NA,NA,NA,NA,NA,Dark,NA,Wise One,Shaido,Unknown sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Lacile Aldorwin,Cairhienin,Alive,Female,Slim,TPOD 8,TOM 30,Cha Faile,NA,NA,NA,NA,TOM 43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alida Aldragoran,Saldaean,Alive,Female,NA,NA,NA,NA,NA,NA,NA,KOD 20,KOD 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Sybaine Aldwyn,Far Madding,Alive,Female,NA,WH 24,WH 34,NA,NA,Counsel,NA,NA,NA,NA,NA,NA,Gray,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Teire Alentaine,Unknown nationality,Alive,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,The Wheel of Time Companion,NA,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alesinde,Andoran,Dead,Female,NA,NA,NA,NA,Queen,Queen of Andor,FY 1035,LOC 26,LOC 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FY,NA,1035,NA,wot
Alfara,Amadician,Alive,Female,Plump,TFOH 13,TFOH 13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Marande Algoran,Amadician,Alive,Female,NA,LOC 9,LOC 9,NA,Lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Doniella Alievin,Cairhienin,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,Aes Sedai,363 NE,TWORJTWOT,AMOL 37,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,363,NA,wot
Alis,Altaran,Alive,Female,NA,ACOS 28,NA,NA,NA,NA,NA,NA,ACOS 28,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alivia,Seanchan,Alive,Female,NA,WH 11,AMOL 42,Dragon Reborn,NA,NA,NA,TPOD 23,AMOL Epilogue,586 NE,Blue,NA,Golden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,586,NA,NA,wot
Zarya Alkaese,Saldaea,Alive,Female,NA,ACOS 23,KOD 17,White Tower,NA,Novice,NA,NA,NA,NA,"Dark, tilted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Tamore Alkohima,Domani,Alive,Female,Full-figured,NS 13,NS 13,NA,NA,NA,NA,NA,NS 18,NA,NA,NA,NA,NA,Seamstress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Bastine Almadar,Domani,Dead,Female,NA,NA,NA,Artur Hawkwing,Lady,NA,NA,The Wheel of Time Companion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Dumera Alman,Unknown nationality,Dead,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alnora,NA,Dead,Female,NA,TSR 26,TSR 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,NA,NA,Da'shain Aiel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Desandre Alraed,Ghealdanin,Alive,Female,Willowy,WH Prologue,COT Prologue,White Tower,NA,Aes Sedai,NA,NS 4,NA,NA,NA,Yellow Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Katerine Alruddin,Unknown nationality,Dead,Female,NA,NS 4,TOM 38,Black Ajah,Mistress of Novices,Aes Sedai,1000 NE,NA,NA,950 NE,Hard,Red Ajah,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,950,1000,50,wot
Alsera,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,TSR 49,TSR 49,NA,NA,NA,NA,NA,Wise One,Nakai,Unknown sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alstaing,Taraboner,Alive,Female,NA,KOD 11,KOD 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Merchant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Altalin,Amadician,Alive,Female,Plump,LOC 9,LOC 9,NA,Lady,NA,NA,NA,LOC 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alteima,Tairen,Alive,Female,NA,TSR 21,TOM 5,NA,Lady,High Lady,NA,TSR 4,NA,NA,Large Brown,NA,Black,NA,NA,NA,NA,NA,Slender,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Alvistere,Cairhienin,Alive,Female,Slim,KOD 24,KOD 24,White Tower,NA,Novice,NA,NA,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Doesine Alwain,Cairhienin,Dead,Female,Slender,TPOD 26,AMOL 37,White Tower,NA,Aes Sedai,1000 NE,NA,NA,867 NE,NA,Yellow Ajah,NA,NA,Sitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,867,1000,133,wot
Alwhin,Seanchan,Dead,Female,NA,TGH 40,TPOD 24,NA,NA,So'jhin,1000 NE,NA,KOD Prologue,NA,Blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Alysa,Andoran,Alive,Female,NA,TOM 1,TOM 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Amar,NA,Dead,Female,NA,NA,NA,NA,NA,NA,NA,LOC 54,LOC 54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ogier,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Amaresu,Unknown nationality,Bound to the Wheel,Female,NA,TGH 47,TGH 47,Horn of Valere,NA,Hero of the Horn,NA,NA,AMOL 39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Amaryn,Aiel,Alive,Female,NA,NA,NA,NA,NA,NA,NA,LOC 33,LOC 33,NA,NA,NA,NA,NA,NA,Unknown clan,Unknown sept,Unknown society,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Zemaille Amassa,Atha'an Miere,Alive,Female,Slim,NS 3,COT 21,White Tower,NA,Aes Sedai,NA,NA,NA,931 NE,NA,Brown Ajah,Black,NA,Librarian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,931,NA,NA,wot
Lemai Ambani,Unknown nationality,Alive,Female,NA,WH Prologue,COT Prologue,White Tower,NA,Aes Sedai,NA,NA,NA,NA,NA,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Merana Ambrey,Andoran,Alive,Female,NA,LOC 43,KOD 21,Rebel Aes Sedai,NA,Aes Sedai,NA,LOC 36,NA,889 NE,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,889,NA,NA,wot
Saraline Amerano,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,NA,Aes Sedai,NA,TWORJTWOT,TWORJTWOT,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Savion Amhara,Far Madding,Dead,Female,NA,NA,NA,Far Madding,NA,First Counsel,NA,WH 22,WH 22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Amylia,Unknown nationality,Alive,Female,NA,KOD 22,KOD 22,Unaligned sisters,NA,Aes Sedai,NA,COT 14,NA,NA,"Blue, startling",Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Amys,Aiel,Alive,Female,Slim,TSR 11,AMOL 42,NA,NA,NA,NA,TDR 39,NA,NA,Blue,NA,Silver,NA,Wise One,Taardad,Nine Valleys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Frielle Anan,Altaran,Alive,Female,NA,LOC 52,WH 19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Leral Anan,Altaran,Alive,Female,NA,WH 19,WH 29,NA,NA,NA,NA,NA,WH 29,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Marah Anan,Altaran,Alive,Female,NA,WH 19,WH 29,NA,NA,NA,NA,NA,WH 29,NA,NA,NA,NA,NA,Maid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Setalle Anan,Borderlander,Alive,Female,NA,LOC 47,AMOL 34,NA,NA,NA,NA,NA,NA,902 NE,Hazel,NA,Gray,NA,Innkeeper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,902,NA,NA,wot
Ananda,Unknown nationality,Dead,Female,Slender,TSR 1,TSR 1,White Tower,NA,Aes Sedai,999 NE,NA,NA,NA,NA,Yellow Ajah,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,999,NA,wot
Anasai,Shienaran,Presumed dead,Female,NA,NA,NA,NA,NA,NA,NA,TEOTW 46,AMOL 7,NA,NA,NA,NA,NA,Poet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Sashalle Anderly,Unknown nationality,Alive,Female,NA,COT Prologue,AMOL 42,The Dragon Reborn,NA,Aes Sedai,NA,WH 14,NA,816 NE,Blue,Red Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,816,NA,NA,wot
Andhilin,Aiel,Dead,Female,NA,NA,NA,Car'a'carn,NA,NA,NA,KOD 18,TGS 29,NA,NA,NA,NA,NA,NA,Goshien,Red Salt,Far Dareis Mai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Andil,Cairhienin,Alive,Female,NA,COT Prologue,COT Prologue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Rianna Andomeran,Kandori,Alive,Female,NA,TDR 51,AMOL 42,Black Ajah,NA,Aes Sedai,NA,TDR 25,AMOL 42,NA,NA,White Ajah,Black,NA,Dreadlord,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Mistress Andscale,Andoran,Alive,Female,NA,NA,NA,NA,NA,NA,NA,KOD 26,NA,NA,NA,NA,NA,NA,Banker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Anemara,Unknown nationality,Alive,Female,Plump,KOD 2,KOD 2,White Tower,NA,Accepted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Mistress Anford,Andoran,Alive,Female,NA,KOD 17,KOD 32,Elayne Trakand,NA,NA,NA,NA,NA,NA,NA,NA,Gray,NA,Clerk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Anghara,Unknown nationality,Dead,Female,NA,NA,NA,NA,Amyrlin Seat,NA,NA,ACOS 16,ACOS 16,NA,NA,Unknown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Angharad Juerissen,Unknown nationality,Unknown,Female,NA,NA,NA,White Tower,Keeper of the Chronicles,Aes Sedai,NA,The Wheel of Time Companion,NA,NA,NA,Gray Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Angla,Unknown nationality,Alive,Female,NA,LOC 14,LOC 14,White Tower,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Clarine Anhill,Unknown nationality,Alive,Female,Plump,TFOH 17,KOD 25,Valan Luca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Entertainer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Anlee,Unknown nationality,Unknown,Female,NA,NS 11,NS 12,NA,NA,Aes Sedai,NA,NA,NA,NA,NA,Blue Ajah,Gray,NA,Sitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Annah,Unknown nationality,Dead,Female,NA,AMOL 27,AMOL 27,NA,NA,NA,1000 NE,NA,NA,NA,NA,NA,NA,NA,Soldier,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Gulaeve Annallin,Cairhienin,Alive,Female,NA,NA,NA,NA,Lady,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Fionnda Annariz,Tairen,Alive,Female,NA,LOC 19,COT Prologue,NA,High Lady of Tear,NA,NA,NA,NA,NA,Iron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Karind Anshar,Andoran,Alive,Female,Blocky,TFOH 19,KOD 35,House Trakand,Lady,High Seat,NA,NA,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Meka Antos,Arad Doman,Alive,Female,NA,NA,NA,NA,Lady,NA,NA,The Wheel of Time Roleplaying Game,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Anya,Kandor,Alive,Female,NA,NS 22,NS 26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Servant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
Aran'gar,Borderlander,Dead,Female,"Slender, Busty",LOC Prologue,TOM Prologue,NA,NA,Chosen,1000 NE,NA,AMOL 5,NA,Green,NA,Black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,1000,NA,wot
Balladare Arandaille,Unknown nationality,Dead,Female,NA,NA,NA,White Tower,Amyrlin Seat,Aes Sedai,142 NE,TWORJTWOT,TGS 16,NA,NA,Brown Ajah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NA,142,NA,wot
Naean Arawn,Andoran,Alive,Female,Slim,TFOH 19,TOM 50,Andor,Lady,High Seat,NA,NA,NA,NA,"Blue, big",NA,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wot
