ID,oldID,Headword,forename,surname,gender,Free Born in North America,Free before 13th Amendment,Ever Enslaved,How was freedom attained,Other/Uncertain Status,African born ,"Parent information. Free, Enslaved, Unknown",Runaways and rebels ,Education/literacy,Religion,Slave Narrative or memoir AUTHOR,Notes,images ,Suffix,simpleName,altNames,birthDay,birthMonth,birthYear,birthAttribute,Birth Date unknown,altBirthDay,altBirthMonth,altBirthYear,deathDay,deathMonth,deathYear,deathAttribute,altDeathDay,altDeathMonth,altDeathYear,birthPlaceDescription,birthPlaceParish,birthPlaceCity,birthPlaceCounty,birthPlaceState,birthPlaceCountry,birthPlaceInstitution,altBirthPlaceCity,altBirthPlaceState,altBirthPlaceCountry,deathPlaceDescription,deathPlaceParish,deathPlaceCity,deathPlaceCounty,deathPlaceState,Death Place Country,deathPlaceInstitution,altDeathPlaceCity,altDeathPlaceState,Death Place Country,Occupation #1,Occupation #2,Occupation #3,Occupation #4,Occupation #5,Occupation #6,Occupation #7,Occupation #8
36433,/opr/t0001/e2252,coffee,Coffee, ,M,,No,Enslaved,No evidence that he was ever freed. ,,YES,Unknown,Fugitive Slave,No evidence of literacy,Unknown,,"Also known as Cuffee, he organized an insurrection in Manhattan with over twenty enslaved Africans and two enslaved Native Americans",,,,,,,1712,fl.,,,,,,,,,,,,,,,,,Ghana,,,,,Possibly,,New York,,New York,United States,,,,,Slave , Fugitive Slave , Slave Revolt Leader,,,,,
35561,/opr/t0001/e1376,davethepotter,Dave the Potter, ,M,,No,Enslaved,Apparently freed by Emancipation,,,Parents were enslaved,No evidence of runaway.,Literate,Unknown.,,A technically skilled potter who inscribed poetry and dates into his work. He was possibly the same individual known in oral tradition as one-legged Dave of Edgefield ,,,,,,,1800,,,,,,,,,,,,,,,Edgefield,,South Carolina,United States,,,,,,,Edgefield,,South Carolina,United States,,,,United States,Typographer , Slave , Poet , Ceramist / Potter,,,,
35589,/opr/t0001/e1404,doctorjack,Doctor Jack, ,M,,Yes,Enslaved,"Apparently earned enough money through his work as a doctor to purchase his own freedom. By 1853 he was listed in the Nashville business directory as “Jack, Root Doctor""",,,Unknown,No evidence of runaway,No evidence of literacy,Unknown,,"Free before 13th Amendment.  A doctor who used roots and herbs to heal. After the 1831 Tennessee General Assembly banned enslaved persons from practicing medicine, over 120 white citizens petitioned for Doctor Jack to have an exemption.",,,,,,,1780,,,,,,,,1860,,,,,,,,Maury County,Tennessee,United States,,,,,,,Nashville,,Tennessee,United States,,,,United States,Slave , Physician,,,,,,
36768,/opr/t0001/e2593,elizabeth,Elizabeth, ,F,,Yes,Enslaved,Given her freedom at age 30 by a Presbyterian minister.,,,Unknown. Her father was literate.,No evidence of runaway.,Unclear.,Methodist. Self-appointed minister.,"Dictated a memoir when 100 years old: A Colored Minister of the Gospel, Born in Slavery. https://docsouth.unc.edu/neh/eliza2/eliza2.html",Free before 13th Amendment. Autobiography was published posthumously by Quakers.,,,,,,,1766,c.,,,,,11,6,1866,,,,,,,,,Maryland,United States,,,,,,,Philadelphia,,Pennsylvania,United States,,,,United States,Slave , Methodist Clergy,,,,,,
36925,/opr/t0001/e2750,gordon,Gordon, ,M,,Status changed during the Civil War,Enslaved,"After recovering from a vicious whipping, he escaped from slavery in March 1863 by traveling  east toward the Mississippi River and Union lines",,,Unknown,Fugitive Slave,No evidence of literacy,Unknown,,Gordon became widely known for a photograph (taken at the time of his enlistment in the Union military) that showed scars on his back,http://www.oxfordaasc.com/doc/opr/t0001/e2750/images/inline/acref-9780190604257-graphic-0275.jpg,,,,,,1863,fl.,,,,,,,,,,,,,,Near Washington,,Louisiana,United States,,,,,place Unknown,,,,,,,,,,Slave , Soldier , Fugitive Slave , Slave Narrative Author,,,,
37200,/opr/t0001/e3026,jemmy,Jemmy, ,M,,No,Enslaved,Never freed.,,YES,Unknown,Rebel,"Jemmy was possibly the same person as Cato, a literate leader in the Stono uprising",Likely practiced a combination of Roman Catholicism and older African faiths ,,"Born in central Africa, Jemmy led the 1739 Stono slave rebellion, which was the deadliest revolt in colonial North America",,,,,,,1730,fl.,,,,,,,,,,,,,,,,,Angola,,,,,,,,,South Carolina,United States,,,,United States,Slave , Folk Hero , Slave Revolt Leader,,,,,
37208,/opr/t0001/e3034,joe,Joe, ,M,,Yes,Enslaved,Joe was captured by Mexican forces after the Battle of the Alamo and freed by Santa Anna. He later escaped again from the man who purchased him from his former owner's estate,,,Unknown,Fugitive Slave,No evidence of literacy,Unknown,,Free before 13th Amendment. Joe survived the battle of the Alamo and left an account of the fighting,,,,,,,1813,c.,,,,,,,,,,,,Place unknown,,,,,,,,,,,,Near Brewton,,Alabama,United States,,,,United States,Servant , Slave , Fugitive Slave , Legendary Figure,,,,
39139,/opr/t0001/e5369,ned,Ned, ,M,,No,Enslaved,No evidence that he was ever freed, ,,Unknown,No evidence of runaway,No evidence of literacy,Unknown,,"Known for his attempt to patent his invention, the “Stuart Double Plough and Double Scraper"" for harvesting cotton",,,,,,,,,Date unknown,,,,,,,,,,,Probably,,,,Mississippi,United States,,,,,Place Unknown,,,,,,,,,,Blacksmith , Slave , Inventor,,,,,
37668,/opr/t0001/e3524,pomp,Pomp, ,M,,No,Enslaved,Never freed.,,Possibly,Unknown names. His parents were brought from Africa to North America while Pomp was a baby,Fugitive Slave,No evidence of literacy,Unknown. Attended church.,https://docsouth.unc.edu/neh/pomp/menu.html,"After three unsuccessful attempts to escape enslavement, each of which was followed by cruel punishment, Pomp killed his master and was sentenced to the gallows.",,,Pomp,,,,1762,c.,,,,,6,8,1795,,,,,,,,,,West Africa,,,,,,,Ipswitch,,Massachusetts,United States,,,,United States,Slave , Murderer , Fugitive Slave , Slave Narrative Author,,,,
34660,/opr/t0001/e0472,railroadbill,Railroad Bill, ,M, ,Unknown,Unknown,Unknown,"Unknown Status, Free after 1865 ",,Unknown,N/A (?),No evidence of literacy,Unknown,,"Possibly named Morris Slater or Bill McCoy, he ""freeloaded"" aboard trains and defended himself with a rifle. This made him both a ""wanted"" suspect and a folk hero.",,,,,,,,,Date unknown,,,,7,3,1896,,,,,Possibly,,,,Florida,United States,,,,,,,Atmore,,Alabama,United States,,,,United States,Thief , Folk Hero,,,,,,
35914,/opr/t0001/e1733,romain,Romain, ,M,,No,Enslaved,Never freed,,,Unknown,Resisted slavery through suicide,No evidence of literacy,Unknown,,"Enslaved in the Caribbean and then in Trenton, NJ. Romain committed suicide so as to avoid being returned to Caribbean slavery.",,,,,,,1776,,,,,,,,1803,,,,,,,,,,Haiti,,,,,,,Philadelphia,,Pennsylvania,United States,,,,United States,Slave,,,,,,,
35924,/opr/t0001/e1743,sampson,Sampson, ,M, ,Unknown,Unknown,Possibly ran away to British lines during the American Revolution,Unknown status. Possible runaway ,,Unknown,Possibly a runaway,No evidence of literacy,Unknown,,"Possibly a runaway and possibly the slave of a Loyalist, Sampson worked as a coastal pilot for the British during the American Revolution",,,,,,,1775,fl.,,,,,,,,,,,,Place unknown,,,,,,,,,,Place Unknown,,,,,,,,,,Soldier , Sailor (Navy),,,,,,
34814,/opr/t0001/e0626,york,York, ,M,,Yes,Enslaved,"William Clark, who was the owner of York under the laws of the time, reported in 1832 that he had freed York",,,His father was an enslaved African American also named York; his mother was likely enslaved by the same family,No evidence of runaway,Likely illiterate.,Unknown,,"York joined the Lewis and Clark expedition, becoming the first African American to cross North America from coast-to-coast north of Mexico.",,,York,,,,1772,c.,,,,,,,1832,c.,,,,Possibly,,,Caroline County,Virginia,United States,,,,,,,,,Tennessee,United States,,,,United States,Slave , Explorer,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37199,/opr/t0001/e3025,jeffreygeorges,George S., Jeffrey,M,Freeborn,Yes,,Freeborn,,,"Father was George W. Jeffrey. Mother was Mary Ann (Campbell), whose original status is unknown",,,,,"Freeborn barber, orator, and activist",,,,,30,11,1830,,,,,,7,12,1906,,,,,,,Middletown,,Connecticut,United States,,,,,,,Meriden,,Connecticut,United States,,,,United States,barber,orator, Civil Rights Activist,,,,,
35431,/opr/t0001/e1246,aaronscharlie,Charlie,Aarons,M,,Unknown,Enslaved,Unknown. Possibly freed by the Civil War or 13th Amendment.,,,"Son of Aaron and Louisa, both enslaved",No evidence of runaway,Illiterate,Baptist,https://memory.loc.gov/mss/mesn/010/010.pdf,"Aarons survived slavery and gave an oral interview in 1937 in the context of the Federal Writers' Project, which had been established by FDR",,,,,,,1847,,,,,,,,,,,,,,,Petersburg,,Virginia,United States,,,,,place Unknown,,,,,,,,,,Slave,wagon driver,steamboat laborer,,,,,
34828,/opr/t0001/e0640,abbottandersonruffin,Anderson Ruffin,Abbott,M,Freeborn,Yes, ,Freeborn,,,"His parents were Wilson Ruffin Abbott, a businessman and properties investor, and Mary Ellen Toyer. They had arrived in Toronto in 1835.",N/A,"Literate. Attended Buxton Mission School, was one of three Black students at  Toronto Academy, attended the preparatory department of Oberlin College, and studeid at Toronto School of Medicine.",Associate editor of a newspaper run by the British Methodist Episcopal Church. He also surved as a warden for the St. James Anglican Church,,"Free before 13th Amendment. A licensed physician who served in the Civil War as an assistant surgeon and captain. Abbott was an intellectual, a writer, and a proponent of school desegregation and classical education",,,,,7,4,1837,,,,,,29,12,1913,,,,,,,Toronto,,Ontario,Canada,,,,,,,Toronto,,Ontario,Canada,,,,Canada,Medical Educator , Civil Rights Activist , Surgeon , Union Army Officer,,,,
36023,/opr/t0001/e1842,abbottisraelbraddock,Israel Braddock,Abbott,M,Freeborn,Yes, ,Freeborn,,,The son of Israel B. Abbott and Gracie Maria Green,Escaped after being forced to work in support of the Confederate army,Attended school from age 4 to 10.,Unknown. One of his fathers-in-law was a Methodist Episcopal Zion Church minister,,"Free before 13th Amendment. A reformer, debater and orator who held various appointed public offices in 1872 was elected as a Republican to the NC House of Representatives. Also co-founded a Laborers Union",,,,,11,5,1843,,,,,,6,5,1887,,,,,,,New Bern,,North Carolina,United States,,,,,,,New Bern,,North Carolina,United States,,,,United States,Carpenter , Orator , Institutional Founder / Benefactor , Book Editor / Publisher,,,,
35432,/opr/t0001/e1247,abdalrahmanibrahima,Ibrahima,Abd Al-Rahman,M,,Yes,Enslaved,"Wrote a letter in Arabic and sent it to Morocco to request his freedom. Two years later a letter was sent in response to the U.S. State Department requesting Abd al-Rahman's freedom. Residents of Natchez, Mississippi raised funds to buy his wife's freedom and the two were transported to Liberia.",,YES,Born into the Bari family of the Fulbe people,Ran away for several weeks but returned.,Literate. Prior to enslavement he learned to read and write Arabic in Fula-Muslim schools.,Islam,,"Free before 13th Amendment. A West African military leader who was captured into slavery, Abd al-Rahman became a well-known antislavery activist after securing his own freedom and raising funds to free his children.",,,,,,,1760,c.,,,,,,,1829,,,,,,,Timbo,,,Futa Jallon (Guinea),,,,,,,,,,Liberia,,,,Liberia,Slave ,Foreign Military Officer,,,,,,
39638,/opr/t0001/e5874,abelableelijah,Elijah,Abel [Able],M,,Yes,Unknown,As a young man he left the place norhern Maryland where he had been born. Unclear if he was ever enslaved.,"Unknown  Status at Birth,  free before 1866",,Born to Andrew Abel and Delila Williams,Unknown,Unknown. He was an ordained priest,Latter-Day Saint elder (Mormon),,Free before 13th Amendment. An early African American priest in the Church of Jesus Christ of Latter-day Saints who migrated to Utah and who encountered significant prejudice within the religion,,,,,,,1810,c.,,,,,25,12,1884,,,,,,,,,Maryland,United States,,,,,,,Salt Lake City,,Utah,United States,,,,United States,Frontiersman / Pioneer , Mormon Leader,,,,,,
38628,/opr/t0001/e4856,abnerdavidsr,David,Abner,M,,No,Born Enslaved ,"Not freed until 19 June 1865, when federal troops arrived in Texas to announce and implement the Emancipation Proclamation",,,"His parents, Sarah and Pete, were the property of a family named Abner",No evidence of runaway.,Likely literate. One of the eight incorporators of Bishop College,A founding member of Bethesda Baptist Church,,"Formerly enslaved in Alabama and Texas, Abner served a term in the Texas state legislature in 1874 and was a delegate to the state constitutional convention the following year", ,Sr.,,,,12,1820,,,,,,14,5,1906,,,,,,,,Dallas County,Alabama,United States,,,,,,,,Harrison,Texas,United States,,,,United States,Farmer , Entrepreneur , Slave , State Legislator , Building Materials Industry Leader , Baptist Clergy,,
38904,/opr/t0001/e5132,adamscyrusfield,Cyrus Field,Adams,M,Freeborn,Yes,Unknown,Freeborn?,Unclear if he was ever enslaved,,"The younger son of Reverend Henry, a school administrator, and Margaret Priscilla (Corbin) Adams.",N/A(?),Literate. Graduated from preparatory school and college at Oberlin College,Apparently Baptist,,"Free before 13th Amendment. Adams was a journalist who was involved in Republican politics, spoke four languages,  and served as three-term president of the National Afro-American Press Association among other club activities. ",,,,,18,7,1858,,,,,,,,1940,c.,,,,,,Louisville,,Kentucky,United States,,,,,Place Unknown,,,,,,,,,,Civil Servant , Print Journalist,,,,,,
35433,/opr/t0001/e1248,adamsdock,Dock,Adams,M,,Yes,Possibly born enslaved,May have hired out his time to purchase his freedom. Joined the Union army during the Civil War,,,Parents are unknown.,No evidence of runaway,Unclear. Ran for local office in 1872.,Unknown,,"Free before 13th Amendment. A successful carpenter and founder of a black militia in Hamburg, South Carolina, members of which were massacred by armed men led by a former Confederate general.",,,,,,,1838,,,,,,,9,1898,,,,,,,,,Georgia,United States,,,,,,,,,South Carolina,United States,,,,United States,Carpenter , Slave , Soldier , Militia Leader,,,,
35434,/opr/t0001/e1249,adamsgeorge,George,Adams,M,,,Likely enslaved,May have been born into slavery and escaped from bondage before the Civil War,,,Unknown,May have escaped from slavery,No formal education.,Unknown,,A cowboy in Texas who was effectively the friend effectively the business partner of a white rancher,,,,,,,1847,,,,,,29,9,1939,,,,,Place unknown,,,,,,,,,,,,,,Texas,United States,,,,United States,Cowboy , Rancher , Slave,,,,,
39759,/opr/t0001/e5995,adamshenry 010,Henry,Adams,M,Freeborn,Yes, ,Freeborn,,,His  parents were free (names unknown),N/A,Literate. Studied the Bible and was proficient in English and Latin,Baptist,,Free before 13th Amendment. A Baptist preacher who in 1842 became the first preacher of the First African Baptist Church when it split from the First Baptist Church,,,,,17,12,1802,,,,,,3,11,1872,,,,,,,,Franklin County,Georgia,United States,,,,,,,Louisville,,Kentucky,United States,,,,United States,Educational Reform Advocate , Baptist Clergy,,,,,,
36035,/opr/t0001/e1854,adamshenry,Henry,Adams,M,,No,Born Enslaved ,"Emancipated in 1865, although he had become economically self-sufficient before then",,,Unknown,No evidence of runaway,Literate. Learned to read and write while serving in the U.S. army,Described as someone who “feared God but not man” ,,A veteran of the U.S. military and faith healer who promoted emigration to Liberia and also testified before the U.S. senate on the so-called Exodus to Kansas,,,,Houston,16,3,1843,,,,,,,,,,,,, ,,,Newton County,Georgia,United States,,,,,Place Unknown,,,,,,,,,,Slave , Organization Founder / Official , Political Activist,,,,,
34831,/opr/t0001/e0643,adamsjohnquincy 005,John Quincy,Adams,M,Freeborn,Yes, ,Freeborn,,,"The son of Henry Adams, a minister and educator, and Margaret Corbin",N/A,Literate. Attended private schools in Wisconsin and Ohio and graduated from Oberlin College,Unclear. A newspaper he owned was subsumed by the American Baptist,,"Free before 13th Amendment. A newspaper editor, two-time secretary in Republican state conventions in Arkansas, educator, and co-founder of the National Afro-American League ",,,,,4,5,1848,,,,,,3,9,1922,,,,,,,Louisville,Jefferson County,Kentucky,United States,,,,,,,St. Paul,Ramsey County,Minnesota,United States,,,,United States,Civil Rights Activist , Political Activist , Newspaper Editor / Publisher,,,,,
36038,/opr/t0001/e1857,adamsjohnquincy[ii],John Quincy,Adams,M,,Yes,Enslaved, Adams and his family escaped from their plantation on 27 June 1862 and were provided by a Union officer with a pass to Philadelphia,,,"One of twenty-five children born to his mother, an enslaved woman (name unknown). His father was also enslaved",Ran away with his family,Literate. Determinedly pursued an education,Christian,https://docsouth.unc.edu/neh/adams/menu.html,Free before 13th Amendment. Formerly enslaved man who prized education and wrote an autobiography,,,,,,,1845,,,,,,,,,,,,,,,Near Winchester,,Virginia,United States,,,,,place Unknown,,,,,,,,,,Slave , Autobiographer / Memoirist , Slave Narrative Author,,,,,
34612,/opr/t0001/e0424,addnigger,Nigger,Add,M,,Unknown,Enslaved,May have been enslaved in Mississippi and brought to Texas in 1850. It is unclear if he was freed before the 13th amendment.,,,Unknown,No evidence of runaway.,No evidence of literacy,Unknown,,A highly skilled cowboy in New Mexico who was a respected range boss but in his later years was dogged by increasingly virulent racism,,,,,,,1845,,,,,,24,3,1926,,,,1906,Possibly,,,Gonzales County,Texas,United States,,,Mississippi, ,,,Roswell,,New Mexico,United States,,,,United States,Cowboy , Slave,,,,,,
35435,/opr/t0001/e1250,africanusscipio,Scipio,Africanus,M,,Yes,Enslaved,"He was reportedly a slave owned by Captain John Paul Jones, but had gained his freedompriortothe American Revolution","Unknown  Status at Birth, free before 1866",,Unknown,No evidence of runaway.,Unknown. Participated in a petition,Unknown,,Free before 13th Amendment. Served in the Navy during the American Revolution aboard the Ranger and was one of several crewmembers to petition the American commissioners in France for better treatment of a ship officer,,,,,,,1777,fl.,,,,,,,,,,,,Place unknown,,,,,,,,,,place Unknown,,,,,,,,,,War Hero , Sailor (Navy),,,,,,
39327,/opr/t0001/e5559,africanusselahmills,Selah Mills,Africanus,M,,Yes,Unknown,"Born ca. 1822 to enslaved parents. Slavery was abolished in New York State in 1827, so Africanus was free at this time (if not earleir)","Unknown Status at Birth, free before 1866 ",,"His parents, whose names are unknown, were enslaved.",No evidence of runaway.,Literate. A writer and a teacher.,Unknown,,Free before 13th Amendment. A writer and teacher who urged civil disobedience against the Fugitive Slave Act and who often conveyed his ideas in poetic form.,,,,,,,1822,,,,,,,,1880,c.,,,,possibly,,New York,,New York,United States,,,,,Place Unknown,,,,,,,,,,Educator , Abolitionist,,,,,,
36029,/opr/t0001/e1848,abubakral-saddiq,Abu Bakr,al-Siddiq,M,,Yes,Enslaved,"Emancipated in 1834 after almost 3 decades of enslavement in Jamaica when Richard Madden, a traveler, learned of al-Saddiq's literacy, encouraged him to translate his autobiography, and negotiated his sale and emancipation",,YES,"Son of Kara Muso, who was in a long line of literate and learned Muslim leaders",No evidence of runaway,Literate in Arabic,Islam,x,"Free before 13th Amendment. Author of an autobiographical account, al-Saddiq was trained in Jenné by several ulama (scholars), enslaved for decades in Jamaica, and ultimately repatriated",,,,,,,1794,c.,,,,,,,1841,c.,,,,,,Timbuktu,,,Mali,,,,,"Possible Jenne, Mali. ",,Jenne,,,Mali,,,,,Slave , Muslim Scholar , Slave Narrative Author,,,,,
34197,/opr/t0001/e0008,albertoctaviavictoriarogers,Octavia Victoria Rogers,Albert,F,,Unknown,Born Enslaved ,Unknown. Possibly freed by the Civil War or 13th Amendment.,,, the daughter of unnamed slaves. ,No Evidence of Runaway.,"literate. Enrolled at Atlanta University aged 17 in 1870. Published a book (posthumously). The House of Bondage; or, Charlotte Brooks and Other Slaves. (1890)",Christian. Husband was Methodist Episcopal minister,https://docsouth.unc.edu/neh/albert/menu.html ,,http://www.oxfordaasc.com/article/opr/t0001/e0008/images/acref-9780190604257-graphic-0008.jpg?hi=1&highlight=1&from=quick&pos=3,,,,24,12,1853,,,,,,,,1890,c.,,,,,,Oglethorpe,,Georgia,United States,,,,,Place Unknown,,,,,,,,,,Slave , Civil Rights Activist , Biographer , Fiction Writer,,,,
35436,/opr/t0001/e1251,albrightgeorgewashington,George Washington,Albright,M,,No (?),Enslaved,Apparently emancipated after the Civil War,,,Both parents were enslaved; their names are unknown.,No evidence of runaway. A member of Lincoln's Legal Loyal League that passed information to Union forces during the Civil War.,Literate. Learned to read and write as a child even though it was illegal in Mississippi. Began attending school in 1865 and trained as a teacher.,Unknown,,"A member of the Mississippi legislature from 1873 to 1879 who helped pass civil rights legislation, he was threatened by the Ku Klux Klan and ultimately left or was forced from public life, settling in Colorado",,,,,,,1846,,,,,,,,,,,,,,,Near Holly Springs,Marshall County,Mississippi,United States,,,,,place Unknown,,,,,,,,,,Slave , State Legislator,,,,,,
34198,/opr/t0001/e0009,aldridgeirafrederick,Ira Frederick,Aldridge,M,Freeborn,Yes, ,Apparently never enslaved,,,"His parents were Daniel Aldridge, a minister, and Lurona (maiden name unknown)",N/A,Literate. Attended African Free School in New York City.,Unknown,,Free before 13th Amendment. An actor who emigrated to England and made his debut in 1825 under the name Mr. Keene and who toured widely throughout Europe.,http://www.oxfordaasc.com/doc/opr/t0004/e0014/images/inline/t0004.aldridge-ira.01.jpg,,,,24,7,1807,,,,,,10,8,1867,,,,,,,New York,,New York,United States,,,, ,,,Lodz,,,Poland,,,,Poland,Stage / Screen Actor,,,,,,,
36042,/opr/t0001/e1861,alexanderarcher,Archer,Alexander,M,,Yes,Enslaved,"Passed information to Union soldiers and then fled from enslavement. Though captured, he again escaped and traveled to St. Louis. Slave catchers were sent to retrieve him but Archer was able to secure freedom through connections with the Union forces.",,,"His parents, Aleck and Chloe, were enslaved",Fugitive Slave,Unknown. His father was literate.,Christian,,"Free before 13th Amendment. Described by William Greenleaf Eliot's The Story of Archer Alexander. From Slavery to Freedom, March 30, 1863 and portrayed in the Freedmen's Memorial to Abraham Lincoln, Archer was a fugitive slave who helped members of his family escape slavery",,,,,,,1813,c.,,,,,8,12,1879,,,,,,,Near Richmond,,Virginia,United States,,,,,,,St. Loius,,Missouri,United States,,,,United States,Artist's Model , Slave , Freedman / Freedwoman,,,,,
