LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,"COLLISION WORKS OF OKLAHOMA, LLC",3224 SE 29TH ST,OKLAHOMA CITY,OK,73115,811121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,449,04/04/2020,"Vast Bank, National Association",OK - 04
a $5-10 million,COMPSOURCE MUTUAL INSURANCE COMPANY,1901 N Walnut,OKLAHOMA CITY,OK,73105,524210,Corporation,Unanswered,Unanswered,Unanswered,,289,04/06/2020,BancFirst,OK - 05
a $5-10 million,"COVERCRAFT INDUSTRIES, LLC",100 Enterprise B;vd,PAULS VALLEY,OK,73075,314999,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,475,04/14/2020,"Texas Capital Bank, National Association",OK - 04
a $5-10 million,D & M CARRIERS LLC,8125 SW 15TH ST,OKLAHOMA CITY,OK,73128,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,495,04/06/2020,Arvest Bank,OK - 03
a $5-10 million,"DELAWARE RESOURCE GROUP OF OKLAHOMA, LLC",3220 Quail Springs Parkway,OKLAHOMA CITY,OK,73134,336413,Corporation,American Indian or Alaska Native,Male Owned,Unanswered,,500,04/08/2020,BancFirst,OK - 05
a $5-10 million,"FUSION INDUSTRIES, LLC",700 NE 63RD ST,OKLAHOMA CITY,OK,73105,237130,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,217,04/05/2020,Valliance Bank,OK - 05
a $5-10 million,GDH CONSULTING INC,6100 S YALE AVE,TULSA,OK,74136,561320,Corporation,Unanswered,Unanswered,Unanswered,,500,04/11/2020,"Vast Bank, National Association",OK - 01
a $5-10 million,"GRIFFIN COMMUNICATIONS, LLC",7401 N Kelley Ave,OKLAHOMA CITY,OK,73111,515210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,434,04/06/2020,BancFirst,OK - 05
a $5-10 million,"HAC, INC",390 NW 36TH ST,OKLAHOMA CITY,OK,73105,445110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,04/27/2020,CIBC Bank USA,OK - 05
a $5-10 million,IMAGENET CONSULTING LLC,913 N. Broadway Ave.,OKLAHOMA CITY,OK,73102,423430,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,388,04/05/2020,International Bank of Commerce,OK - 05
a $5-10 million,INCEED LLC,907 S DETROIT AVE,TULSA,OK,74120,561311,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,478,04/03/2020,First Pryority Bank,OK - 01
a $5-10 million,INDUSTRIAL PIPING SPECIALISTS INC.,606 N. 145th East Avenue,TULSA,OK,74116,237120,Subchapter S Corporation,White,Male Owned,Non-Veteran,,421,04/04/2020,Mabrey Bank,OK - 01
a $5-10 million,"LATSHAW DRILLING COMPANY, LLC","4500 S. 129th E Ave, Suite 150",TULSA,OK,74134,211120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/10/2020,Simmons Bank,OK - 01
a $5-10 million,"LEGEND ENERGY SERVICES, LLC",5801 N BROADWAY EXT STE 210,OKLAHOMA CITY,OK,73118,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,229,04/07/2020,NBC Oklahoma,OK - 05
a $5-10 million,"LIFE. CHURCH OPERATIONS, LLC",4600 E. 2nd Street,EDMOND,OK,73034,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,451,04/07/2020,MidFirst Bank,OK - 03
a $5-10 million,"LSB INDUSTRIES, INC","3503 NW 63rd Street, Suite 500",OKLAHOMA CITY,OK,73116,325311,Corporation,Unanswered,Unanswered,Unanswered,,500,04/15/2020,"BOKF, National Association",OK - 05
a $5-10 million,MAZZIO'S LLC,4441 S 72ND E AVE,TULSA,OK,74145,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,475,04/07/2020,Arvest Bank,OK - 01
a $5-10 million,"MCAFEE & TAFT, A PROFESSIONAL CORPORATION","211 ROBINSON AVE, 10th floor",OKLAHOMA CITY,OK,73102,541110,Corporation,Unanswered,Unanswered,Unanswered,,326,04/04/2020,Arvest Bank,OK - 05
a $5-10 million,MCBRIDE CLINIC ORTHOPEDIC HOSPITAL,9600 Broadway Extension,OKLAHOMA CITY,OK,73114,622310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,04/14/2020,MidFirst Bank,OK - 05
a $5-10 million,"MCDANIEL TECHNICAL SERVICES, INC.",2005 N. Yellowood Ave.,BROKEN ARROW,OK,74012,541990,Corporation,Unanswered,Unanswered,Unanswered,,250,04/14/2020,"BOKF, National Association",OK - 01
a $5-10 million,MCELROY MANUFACTURING INC,833 N. Fulton,TULSA,OK,74115,332710,Subchapter S Corporation,White,Female Owned,Unanswered,,313,04/06/2020,Mabrey Bank,OK - 01
a $5-10 million,MCINTOSH CORPORATION,8141 E 48th St,TULSA,OK,74105,238220,Corporation,Unanswered,Unanswered,Unanswered,,161,04/08/2020,Arvest Bank,OK - 01
a $5-10 million,OKLAHOMA FARM BUREAU MUTUAL INSURANCE CO.,2501 North Stiles Ave,OKLAHOMA CITY,OK,73105,524126,Corporation,Unanswered,Unanswered,Unanswered,,489,04/08/2020,BancFirst,OK - 05
a $5-10 million,OSAGE NATION GAMING ENTERPRISE,1211 W 36TH ST,TULSA,OK,74127,721120,Corporation,Unanswered,Unanswered,Unanswered,,500,04/30/2020,"BOKF, National Association",OK - 01
a $5-10 million,SAGE NET LLC,10205 E 161ST ST,TULSA,OK,74133,541512,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,350,04/06/2020,Commerce Bank,OK - 01
a $5-10 million,"SOLUTIONS THROUGH INNOVATIVE TECHNOLOGIES, INC.",201 S DENVER AVE Ste 300,TULSA,OK,74103,541990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,446,06/25/2020,SpiritBank,OK - 01
a $5-10 million,T & W TIRE LLC,25 N COUNCIL,OKLAHOMA CITY,OK,73127,441320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,482,04/11/2020,MidFirst Bank,OK - 03
a $5-10 million,"THE BAMA COMPANIES, INC.",2745 E 11th Street 0.0,TULSA,OK,74104,311412,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,04/09/2020,"JPMorgan Chase Bank, National Association",OK - 01
a $5-10 million,THE OSAGE NATION,627 GRANDVIEW AVE,PAWHUSKA,OK,74056,921150,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,500,04/15/2020,Arvest Bank,OK - 03
a $5-10 million,"THE RIB CRIB BBQ, INC.",4535 S HARVARD AVE,TULSA,OK,74135,722511,Corporation,Unanswered,Unanswered,Unanswered,,500,04/07/2020,"Vast Bank, National Association",OK - 01
a $5-10 million,"UNITED PETROLEUM TRANSPORTS, INC.",4312 S Georgia Pl,OKLAHOMA CITY,OK,73129,221210,Corporation,Unanswered,Unanswered,Unanswered,,417,04/06/2020,BancFirst,OK - 05
a $5-10 million,"UNIVERSAL FIELD SERVICES, INC",6737 85TH EAST AVE,TULSA,OK,74133,541360,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,337,04/05/2020,BancFirst,OK - 01
a $5-10 million,"VARIETY CARE, INC",3000 N GRAND BLVD,OKLAHOMA CITY,OK,73107,621111,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,04/28/2020,Frontier State Bank,OK - 05
a $5-10 million,"ZEECO, INC",22151 E 91ST ST,BROKEN ARROW,OK,74014,333132,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,04/09/2020,Arvest Bank,OK - 01
b $2-5 million,A-1 FREEMAN MOVING AND STORAGE,11517 Broadway Ext,OKC,OK,73114,484210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,350,04/07/2020,MidFirst Bank,OK - 05
b $2-5 million,ABERDEEN DYNAMICS LLC,17717 E. Admiral Place,TULSA,OK,74158,423830,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,125,04/07/2020,"BOKF, National Association",OK - 01
b $2-5 million,ACCENTRA CAPITAL LLC,16212 Sonoma Park Drive,EDMOND,OK,73013,621610,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,183,04/03/2020,Watermark Bank,OK - 05
b $2-5 million,ACKERMAN MCQUEEN INC,1133 N Robinson Ave,OKLAHOMA CITY,OK,73103,541810,Corporation,Unanswered,Male Owned,Unanswered,,153,04/12/2020,"Bank of America, National Association",OK - 05
b $2-5 million,ACME ENGINEERING AND MANUFACTURING CORPORATION,1820 N YORK ST,MUSKOGEE,OK,74403,333413,Corporation,Unanswered,Unanswered,Unanswered,,280,04/08/2020,Arvest Bank,OK - 01
b $2-5 million,ADAIR COUNTY HEALTH CENTER INC.,1401 W locust Street,STILWELL,OK,74960,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,229,04/04/2020,Carson Community Bank,OK - 02
b $2-5 million,ADVANCED ORTHOPEDICS OF OKLAHOMA PLLC,6475 S Yale Ste 301,TULSA,OK,74136,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/13/2020,Simmons Bank,OK - 01
b $2-5 million,AIR COMFORT SOLUTIONS LLC,608 Messenger Lane,MOORE,OK,73160,238220,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,163,04/07/2020,Bank 7,OK - 04
b $2-5 million,AIRCO SERVICES INC,11331 E 58th St,TULSA,OK,74146,238220,Corporation,Unanswered,Unanswered,Unanswered,,242,04/04/2020,"Triad Bank, National Association",OK - 01
b $2-5 million,"ALLEN CONTRACTING, INC.",516 W CALIFORNIA AVE,OKLAHOMA CITY,OK,73102,237310,Corporation,Unanswered,Unanswered,Unanswered,,162,04/15/2020,Prosperity Bank,OK - 05
b $2-5 million,"ALLIANCE STEEL, INC.",3333 S COUNCIL RD,OKLAHOMA CITY,OK,73179,332311,Corporation,Unanswered,Unanswered,Unanswered,,276,04/11/2020,"BOKF, National Association",OK - 03
b $2-5 million,ALLON TRANSPORTATION SERVICES LL,4050 W I-40 Service Rd,OKLA. CITY,OK,73108,541214,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,272,04/15/2020,Prosperity Bank,OK - 05
b $2-5 million,"AMERICAN WASTE CONTROL, INC.",1420 W 35TH ST,TULSA,OK,74107,562212,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,200,04/04/2020,"BOKF, National Association",OK - 01
b $2-5 million,APPLIED INDUSTRIAL MACHINING LLC,1930 SE 29TH ST,OKLAHOMA CITY,OK,73129,332710,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,138,04/27/2020,Mabrey Bank,OK - 05
b $2-5 million,ASSOCIATED MORTGAGE CORPORATION,7211 S YALE AVE,TULSA,OK,74136,522310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,122,04/07/2020,Regent Bank,OK - 01
b $2-5 million,ATS GROUP LLC,6450 S LEWIS AVE STE 125,TULSA,OK,74136,333132,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/06/2020,"Cadence Bank, National Association",OK - 01
b $2-5 million,"AUDIE PRICE INSPECTION, INC",1199 PO Box 1199,KINGFISHER,OK,73750,541990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,110,04/07/2020,BancFirst,OK - 03
b $2-5 million,"AVIATION TRAINING CONSULTING, LLC",123 W Commerce Suite 424,ALTUS,OK,73521,336413,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,174,04/13/2020,BancFirst,OK - 03
b $2-5 million,"B&R MANAGEMENT COMPANY, INC.",7156 NW 80TH ST,OKLAHOMA CITY,OK,73132,541618,Corporation,White,Male Owned,Non-Veteran,,38,04/09/2020,RCB Bank,OK - 03
b $2-5 million,"BANKONIT, LLC",8601 Commerce Park Dr,OKLAHOMA CITY,OK,73132,518210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,170,04/04/2020,First National Bank of Oklahoma,OK - 03
b $2-5 million,"BENNETT STEEL, INC.",2210 INDUSTRIAL RD,SAPULPA,OK,74066,238290,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,138,04/07/2020,American Heritage Bank,OK - 01
b $2-5 million,BES MANAGEMENT LLC,210 Park Ave,OKLAHOMA CITY,OK,73102,213112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,302,04/08/2020,MidFirst Bank,OK - 05
b $2-5 million,"BIG STAR TRANSPORTATION, LLC",13182 MACARTHUR BLVD,OKLAHOMA CITY,OK,73142,484121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,135,04/06/2020,First Liberty Bank,OK - 05
b $2-5 million,BIOS CORPORATION,309 E DEWEY AVE,SAPULPA,OK,74066,624120,Subchapter S Corporation,White,Male Owned,Non-Veteran,,500,04/14/2020,Arvest Bank,OK - 01
b $2-5 million,"BOB MILLS FURNITURE CO, INC",3600 W Reno Ave,OKLAHOMA CITY,OK,73107,423210,Corporation,Unanswered,Unanswered,Unanswered,,420,04/05/2020,International Bank of Commerce,OK - 05
b $2-5 million,"BORETS U.S., INC.",1600 N Garnett Rd,TULSA,OK,74116,333132,Corporation,Unanswered,Unanswered,Unanswered,,500,05/03/2020,"Zions Bank, A Division of",OK - 01
b $2-5 million,BRADY'S WELDING & MACHINE SHOP INC,11991 HWY 76,HEALDTON,OK,73438,523999,Corporation,Unanswered,Unanswered,Unanswered,,263,04/07/2020,First National Bank and Trust Company of Ardmore,OK - 04
b $2-5 million,"BRISTOW ENDEAVOR HEALTHCARE, LLC","700 W 7th Street, Suite 6",BRISTOW,OK,74010,622110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,255,04/08/2020,MidFirst Bank,OK - 02
b $2-5 million,BROKEN ARROW ELECTRIC SPLY INC,2350 W VANCOUVER ST,BROKEN ARROW,OK,74012,221111,Corporation,Unanswered,Unanswered,Unanswered,,155,04/04/2020,"BOKF, National Association",OK - 01
b $2-5 million,C. H. GUERNSEY & COMPANY,5555 N GRAND BLVD,OKLAHOMA CITY,OK,73112,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,110,04/07/2020,"Fidelity Bank, National Association",OK - 05
b $2-5 million,CALVIN MCGEE,105 N 8TH AVE,STROUD,OK,74079,484121,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,04/09/2020,"TBK Bank, SSB",OK - 03
b $2-5 million,"CAPITAL DISTRIBUTING, LLC",421 NORTH PORTLAND AVE,OKLAHOMA CITY,OK,73107,424810,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,220,04/06/2020,Arvest Bank,OK - 05
b $2-5 million,"CAREY JOHNSON OIL COMPANY, INC.",701 SW F AVE,LAWTON,OK,73501,213111,Corporation,Unanswered,Unanswered,Unanswered,,249,04/05/2020,BancFirst,OK - 04
b $2-5 million,CASADY SCHOOL INC.,9500 North Pennsylvania Avenue,OKLAHOMA CITY,OK,73120,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,175,04/09/2020,MidFirst Bank,OK - 05
b $2-5 million,"CB RESTAURANTS, INC.",14504 Hertz Quail Springs Parkway,OKLAHOMA CITY,OK,73134,722511,Corporation,Unanswered,Unanswered,Unanswered,,288,04/28/2020,First Oklahoma Bank,OK - 05
b $2-5 million,CEC CORPORATION,4555 W Memorial Rd,OKLAHOMA CITY,OK,73142,541330,Corporation,Unanswered,Unanswered,Unanswered,,210,04/06/2020,CrossFirst Bank,OK - 05
b $2-5 million,"CENTRAL OKLAHOMA AMERICAN INDIAN HEALTH COUNCIL, INC.",4913 W RENO AVE,OKLAHOMA CITY,OK,73127,621111,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,229,04/11/2020,"INTRUST Bank, National Association",OK - 03
b $2-5 million,"CENTURY, LLC",1000 Century Blvd,OKLAHOMA CITY,OK,73110,339999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,249,04/04/2020,"BOKF, National Association",OK - 04
b $2-5 million,"CHANDLER USA, INC.",1010 Manvel Avenue,CHANDLER,OK,74834,524126,Corporation,Unanswered,Unanswered,Unanswered,,273,04/14/2020,BancFirst,OK - 03
b $2-5 million,"CHARLESTON'S RESTAURANT GROUP, INC",3510 24th Ave Nw Suite200,NORMAN,OK,73069,561110,Corporation,Unanswered,Unanswered,Unanswered,,234,04/07/2020,BancFirst,OK - 04
b $2-5 million,CHICKASAW TELEPHONE COMPANY,125 W. Vinita Ave,SULPHUR,OK,73086,517911,Corporation,Unanswered,Unanswered,Unanswered,,211,04/13/2020,BancFirst,OK - 04
b $2-5 million,CIRCLE 9 RESOURCES LLC,210 Park Ave,OKLAHOMA CITY,OK,73102,211111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,122,04/08/2020,MidFirst Bank,OK - 05
b $2-5 million,"CIRCLE B MEASUREMENT & FABRICATION, LLC",14034 east MARSHALL ST,TULSA,OK,74116,237120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,116,04/07/2020,AVB Bank,OK - 01
b $2-5 million,"CISCO-EAGLE, INC.",10015 E 51ST ST,TULSA,OK,74146,423830,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,126,04/11/2020,"BOKF, National Association",OK - 01
b $2-5 million,CLIFFORD POWER SYSTEMS INC,9310 E 46TH ST,TULSA,OK,74117,335312,Corporation,Unanswered,Unanswered,Unanswered,,159,04/04/2020,"BOKF, National Association",OK - 01
b $2-5 million,"COASTLINE CONSTRUCTION, INC.",11709 E 132nd S St,BROKEN ARROW,OK,74011,238310,Corporation,Unanswered,Unanswered,Unanswered,,15,04/27/2020,Hope Enterprise Corporation,OK - 01
b $2-5 million,"COATES FIELD SERVICE, INC.",4800 N SANTA FE AVE,OKLAHOMA CITY,OK,73118,531390,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,205,04/06/2020,InterBank,OK - 05
b $2-5 million,COMANCHE NATION CASINO,PO BOX 347,LAWTON,OK,73502,713210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,306,04/28/2020,Arvest Bank,OK - 04
b $2-5 million,COMANCHE RED RIVER HOTEL CASINO,196747 HIGHWAY 36,DEVOL,OK,73531,721120,Corporation,Unanswered,Unanswered,Unanswered,,370,04/28/2020,Arvest Bank,OK - 04
b $2-5 million,"CONNER & WINTERS, LLP",4000 ONE WILLIAMS CTR,TULSA,OK,74172,541199,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,159,04/07/2020,Arvest Bank,OK - 01
b $2-5 million,"CROSSINGS COMMUNITY CHURCH, INC",1460 N PORTLAND AVE,OKLAHOMA CITY,OK,73134,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,285,04/07/2020,BancFirst,OK - 05
b $2-5 million,"CROWE & DUNLEVY, A PROFEESIONAL CORPORATION",324 N robinson sve Suite 100,OKLAHOMA CITY,OK,73102,541110,Corporation,Unanswered,Unanswered,Unanswered,,188,04/08/2020,BancFirst,OK - 05
b $2-5 million,"CUSTOM COMMODITIES, INC",532 WILSON ST,VINITA,OK,74301,484230,Corporation,Unanswered,Unanswered,Unanswered,,205,04/11/2020,Southside Bank,OK - 02
b $2-5 million,CYNTERGY AEC LLC,810 S Cincinnati Ave 2nd Fl,TULSA,OK,74119,541990,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,145,04/08/2020,Regent Bank,OK - 01
b $2-5 million,D & M EMPLOYEE LEASING LLC,8125 SW 15TH ST,OKLAHOMA CITY,OK,73128,561330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,176,04/07/2020,Arvest Bank,OK - 03
b $2-5 million,"D&L MANUFACTURING, INC.",1915 S 49TH WEST AVE,TULSA,OK,74107,333132,Subchapter S Corporation,White,Male Owned,Unanswered,,225,04/04/2020,Mabrey Bank,OK - 01
b $2-5 million,"DA-PRO RUBBER, INC",601 N POPLAR AVE,BROKEN ARROW,OK,74012,423850,Corporation,Unanswered,Female Owned,Unanswered,,360,04/11/2020,Prosperity Bank,OK - 01
b $2-5 million,"DALE ROGERS TRAINING CENTER, INC.",7540 Melrose Lane,OKLAHOMA CITY,OK,73107,611519,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,490,04/15/2020,Prosperity Bank,OK - 05
b $2-5 million,"DATA MONITOR SYSTEMS, INC.",316 S Midwest Blvd,OKLAHOMA CITY,OK,73110,561210,Corporation,Unanswered,Unanswered,Unanswered,,168,04/09/2020,BancFirst,OK - 04
b $2-5 million,DEAN MCGEE EYE INSTITUTE,608 Stanton L Young Blvd,OKLAHOMA CITY,OK,73104,515210,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,327,04/06/2020,BancFirst,OK - 05
b $2-5 million,"DENMAR SERVICES, INC.","605 SW B Avenue, Suite 2",LAWTON,OK,73501,561210,Corporation,Unanswered,Unanswered,Unanswered,,265,04/09/2020,BancFirst,OK - 04
b $2-5 million,"DIAKONOS GROUP, LLC",3325 French Park Drive Suite 6,EDMOND,OK,73083,623110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,500,04/29/2020,BancFirst,OK - 05
b $2-5 million,"DIGESTIVE DISEASE SPECIALISTS, INC.","2212 NW 50th St., Ste. 1636",OKLAHOMA CITY,OK,73112,621493,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,04/10/2020,Simmons Bank,OK - 05
b $2-5 million,"DIPPIN' DOTS HOLDING, L.L.C.",701 Cedar Lake Blvd Suite 210,OKLAHOMA CITY,OK,73114,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,203,04/04/2020,Simmons Bank,OK - 05
b $2-5 million,"DIVERSIFIED SYSTEMS RESOURCES, LTD",3901 SE ADAMS RD,BARTLESVILLE,OK,74006,541519,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,438,04/08/2020,Community State Bank,OK - 01
b $2-5 million,"DOBSON TECHNOLOGIES, INC.","14101 Wireless Way, Suite 300",OKLAHOMA CITY,OK,73134,517311,Corporation,Unanswered,Unanswered,Unanswered,,139,04/09/2020,MidFirst Bank,OK - 05
b $2-5 million,DOVE SCHOOLS INC.,9212 N. Kelly,OKLAHOMA CITY,OK,73131,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,264,04/10/2020,BancFirst,OK - 05
b $2-5 million,DOWNSTREAM DEVELOPMENT AUTHORITY OF THE QUAPAW TRIBE OF OK O-GAH-PAH,69300 Nee Rd,QUAPAW,OK,74363,721120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/27/2020,Simmons Bank,OK - 02
b $2-5 million,"DRAKE NELSON, LLC",300 W SHAWNEE ST Ste c,MUSKOGEE,OK,74401,561320,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,483,04/13/2020,Arvest Bank,OK - 02
b $2-5 million,EAGLE REDI-MIX CONCRETE LLC,2761 E. Skelly Dr. Suite 300,TULSA,OK,74105,327320,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,195,04/03/2020,First Pryority Bank,OK - 01
b $2-5 million,"ELECTRO ENTERPRISES, INC.",3601 N I-35 Service Road,OKLAHOMA CITY,OK,73111,423610,Corporation,Unanswered,Female Owned,Unanswered,,269,04/07/2020,International Bank of Commerce,OK - 05
b $2-5 million,ENERGY PROCESS TECHNOLOGIES INC,3171 N TOLEDO AVE,TULSA,OK,74115,327999,Corporation,Unanswered,Unanswered,Unanswered,,134,04/27/2020,Prosperity Bank,OK - 01
b $2-5 million,EPWORTH LIVING,14901 N PENNSYLVANIA AVE,OKLAHOMA CITY,OK,73134,623312,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,234,04/07/2020,BancFirst,OK - 05
b $2-5 million,"ESKRIDGE AUTO GROUP, INC.",70 W. Memorial Rd,OKLAHOMA CITY,OK,73114,441110,Corporation,White,Male Owned,Non-Veteran,,195,04/03/2020,The First State Bank,OK - 05
b $2-5 million,EST INC,615 N Hudson Avenue Suite 300,OKLAHOMA CITY,OK,73102,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,219,04/06/2020,MidFirst Bank,OK - 05
b $2-5 million,"EVANS ENTERPRISES, INC.",6707 N. Interstate Drive,NORMAN,OK,73069,335312,Corporation,White,Female Owned,Non-Veteran,,305,04/13/2020,Bank 7,OK - 04
b $2-5 million,"EXISS SOONER TRAILER MANUFACTURING, LLC",900 E TRAIL BLVD,EL RENO,OK,73036,336212,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,182,04/15/2020,"BOKF, National Association",OK - 03
b $2-5 million,"FABRICUT, INC.",9303 E. 46TH ST,TULSA,OK,74145,313310,Corporation,Unanswered,Unanswered,Unanswered,,248,04/04/2020,"BOKF, National Association",OK - 01
b $2-5 million,FARMERS UNION HOSPITAL ASSOCIATION,1801 W. 3RD ST,ELK CITY,OK,73644,622110,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,435,04/08/2020,Great Plains National Bank,OK - 03
b $2-5 million,"FELLERS, INC",6566 E Skelly Dr,TULSA,OK,74145,339950,Corporation,Unanswered,Unanswered,Unanswered,,0,04/05/2020,"UMB Bank, National Association",OK - 01
b $2-5 million,FINLEY AND COOK PLLC,601 N BROADWAY AVE,SHAWNEE,OK,74801,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,181,04/10/2020,BancFirst,OK - 05
