Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Age in Years,Breed,Color
A663886,Trudy,10/1/2013 15:08,10/1/2013 15:08,9/25/2011,Euthanasia,Medical,Dog,Spayed Female,2 years,2.020905632,Pit Bull Mix,Black/White
A664233,Stevie,10/1/2013 15:33,10/1/2013 15:33,9/30/2010,Euthanasia,Suffering,Dog,Intact Female,3 years,3.007254566,Pit Bull Mix,Blue/White
A521520,Nina,10/1/2013 15:39,10/1/2013 15:39,9/7/2006,Return to Owner,,Dog,Spayed Female,7 years,7.073019406,Border Terrier/Border Collie,White/Tan
A662104,Gracie,10/1/2013 15:47,10/1/2013 15:47,8/29/2010,Adoption,,Dog,Spayed Female,3 years,3.094952435,Labrador Retriever Mix,Black/White
A664280,Coco,10/1/2013 15:51,10/1/2013 15:51,10/1/2007,Return to Owner,,Dog,Spayed Female,6 years,6.007288813,Miniature Poodle Mix,Apricot
A663605,*Joe,10/1/2013 16:05,10/1/2013 16:05,6/6/2013,Return to Owner,,Cat,Neutered Male,3 months,0.322383942,Domestic Shorthair Mix,Brown Tabby/White
A664218,,10/1/2013 16:11,10/1/2013 16:11,3/30/2013,Transfer,SCRP,Cat,Neutered Male,6 months,0.508696728,Domestic Medium Hair Mix,Blue Tabby/White
A664217,,10/1/2013 16:11,10/1/2013 16:11,9/30/2012,Transfer,SCRP,Cat,Intact Female,1 year,1.004587139,Domestic Shorthair Mix,Orange Tabby/White
A660634,*Fauna,10/1/2013 16:17,10/1/2013 16:17,7/9/2013,Adoption,,Cat,Spayed Female,2 months,0.231995814,Domestic Shorthair,Blue/White
A664238,,10/1/2013 16:47,10/1/2013 16:47,6/1/2013,Euthanasia,Medical,Cat,Unknown,4 months,0.336162481,American Shorthair Mix,Black/White
A661933,*Nutella,10/1/2013 16:49,10/1/2013 16:49,9/19/2003,Euthanasia,Suffering,Cat,Spayed Female,10 years,10.0430156,Domestic Shorthair Mix,Blue Tabby
A663920,Sparkle,10/1/2013 16:53,10/1/2013 16:53,7/19/2013,Adoption,,Cat,Spayed Female,2 months,0.204667047,Snowshoe Mix,Blue Point
A663827,,10/1/2013 17:02,10/1/2013 17:02,1/29/2013,Adoption,,Dog,Neutered Male,8 months,0.673177321,Labrador Retriever Mix,Brown
A664032,Parker,10/1/2013 17:18,10/1/2013 17:18,7/27/2013,Adoption,,Dog,Spayed Female,2 months,0.182796804,German Shepherd Mix,Black/Tan
A661830,Amalia,10/1/2013 17:58,10/1/2013 17:58,8/25/2012,Transfer,SCRP,Cat,Intact Female,1 year,1.103420852,Domestic Medium Hair Mix,Torbie
A664288,,10/1/2013 18:02,10/1/2013 18:02,10/1/2011,Euthanasia,Suffering,Cat,Intact Male,2 years,2.004798326,Domestic Shorthair Mix,Blue/White
A664151,Mantequilla,10/1/2013 18:19,10/1/2013 18:19,9/30/2008,Return to Owner,,Dog,Neutered Male,5 years,5.007570396,Chihuahua Shorthair,Red
A664031,Willow,10/1/2013 18:24,10/1/2013 18:24,7/27/2013,Adoption,,Dog,Spayed Female,2 months,0.182922374,German Shepherd Mix,Black/Tan
A658012,Lucio,10/1/2013 18:27,10/1/2013 18:27,7/5/2010,Return to Owner,,Dog,Neutered Male,3 years,3.245941781,Chihuahua Shorthair Mix,Red
A664313,,10/1/2013 18:33,10/1/2013 18:33,9/24/2013,Transfer,Partner,Cat,Intact Female,1 week,0.021295662,Domestic Shorthair Mix,Tortie
A664111,*Izzy,10/1/2013 18:54,10/1/2013 18:54,4/1/2013,Adoption,,Cat,Spayed Female,6 months,0.503527397,Domestic Shorthair Mix,Blue Tabby/White
A664234,,10/1/2013 19:09,10/1/2013 19:09,10/1/2005,Euthanasia,Suffering,Dog,Intact Male,8 years,8.007665525,Border Collie Mix,Black/White
A660781,*Hank,10/2/2013 8:31,10/2/2013 8:31,6/24/2013,Adoption,Foster,Dog,Neutered Male,3 months,0.274944825,Labrador Retriever Mix,Black/White
A664329,,10/2/2013 9:21,10/2/2013 9:21,8/18/2013,Euthanasia,Suffering,Cat,Intact Male,1 month,0.124355023,Domestic Shorthair Mix,Black/White
A664328,,10/2/2013 9:40,10/2/2013 9:40,6/2/2013,Euthanasia,Rabies Risk,Other,Unknown,4 months,0.335350076,Bat Mix,Brown
A664284,,10/2/2013 11:02,10/2/2013 11:02,10/1/2013,Died,In Foster,Cat,Intact Male,1 day,0.003999239,Domestic Shorthair Mix,Black/White
A664285,,10/2/2013 11:03,10/2/2013 11:03,10/1/2013,Died,In Foster,Cat,Intact Male,1 day,0.004001142,Domestic Shorthair Mix,Black
A664042,,10/2/2013 11:12,10/2/2013 11:12,9/28/2011,Euthanasia,Suffering,Dog,Intact Male,2 years,2.014977169,Chow Chow Mix,Black
A609552,Zuzu,10/2/2013 11:26,10/2/2013 11:26,5/12/2011,Return to Owner,,Dog,Spayed Female,2 years,2.395825723,Doberman Pinsch/Pit Bull,Black/Tan
A661383,*Mirabai,10/2/2013 11:35,10/2/2013 11:35,8/20/2008,Transfer,Partner,Cat,Spayed Female,5 years,5.121870244,Domestic Shorthair Mix,Calico
A663510,Tiger,10/2/2013 12:04,10/2/2013 12:04,4/19/2012,Transfer,Partner,Dog,Neutered Male,1 year,1.456171994,Pit Bull Mix,Brown Brindle
A657196,*Salamander,10/2/2013 12:05,10/2/2013 12:05,5/12/2013,Adoption,,Cat,Spayed Female,4 months,0.393160198,Domestic Shorthair Mix,Brown Tabby/White
A664158,,10/2/2013 12:06,10/2/2013 12:06,8/9/2013,Transfer,Partner,Dog,Intact Male,1 month,0.149326484,Chihuahua Shorthair Mix,White/Black
A663823,*Bowzer,10/2/2013 12:20,10/2/2013 12:20,9/24/2011,Adoption,,Dog,Neutered Male,2 years,2.026065449,Boston Terrier/Miniature Schnauzer,Brown Brindle/White
A634503,Otter,10/2/2013 12:40,10/2/2013 12:40,8/11/2011,Adoption,,Dog,Spayed Female,2 years,2.146651446,Norfolk Terrier Mix,Tan
A663889,Bejon,10/2/2013 13:16,10/2/2013 13:16,9/25/2011,Adoption,,Dog,Neutered Male,2 years,2.023432268,Labrador Retriever/Beauceron,Black/Tan
A664060,Raisin,10/2/2013 13:49,10/2/2013 13:49,9/28/2005,Return to Owner,,Cat,Spayed Female,8 years,8.018015601,Domestic Shorthair Mix,Tortie
A664059,Sylvia,10/2/2013 13:50,10/2/2013 13:50,9/28/2005,Return to Owner,,Cat,Spayed Female,8 years,8.018017504,Russian Blue Mix,Blue
A663910,,10/2/2013 14:15,10/2/2013 14:15,9/26/2012,Transfer,Partner,Dog,Neutered Male,1 year,1.018065068,Labrador Retriever,Chocolate
A663909,,10/2/2013 14:15,10/2/2013 14:15,9/26/2012,Transfer,Partner,Dog,Neutered Male,1 year,1.018065068,Labrador Retriever,Yellow
A664344,,10/2/2013 14:25,10/2/2013 14:25,9/17/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.042741629,Domestic Shorthair Mix,White/Blue
A664345,,10/2/2013 14:26,10/2/2013 14:26,9/17/2013,Transfer,Partner,Cat,Intact Female,2 weeks,0.042743531,Domestic Shorthair Mix,Calico
A664346,,10/2/2013 14:27,10/2/2013 14:27,9/17/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.042745434,Domestic Shorthair Mix,Black Tabby/White
A664347,,10/2/2013 14:28,10/2/2013 14:28,9/17/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.042747336,Domestic Shorthair Mix,Blue Tabby
A477934,Suzie Q,10/2/2013 14:35,10/2/2013 14:35,6/6/2006,Return to Owner,,Dog,Spayed Female,7 years,7.330431887,Pit Bull Mix,Red/White
A660455,*Margot,10/2/2013 15:00,10/2/2013 15:00,7/7/2013,Adoption,Foster,Cat,Spayed Female,2 months,0.240068493,Snowshoe Mix,Lilac Point
A663644,Cookie,10/2/2013 15:08,10/2/2013 15:08,9/27/2001,Return to Owner,,Dog,Spayed Female,12 years,12.02364536,Manchester Terrier,Black/Tan
A663825,,10/2/2013 15:25,10/2/2013 15:25,1/24/2013,Transfer,Partner,Dog,Spayed Female,8 months,0.689431126,Labrador Retriever Mix,Brown
A650212,*Jaxon,10/2/2013 16:09,10/2/2013 16:09,3/25/2012,Adoption,,Dog,Neutered Male,1 year,1.525131279,Pit Bull Mix,Black/White
A664160,Honey,10/2/2013 16:29,10/2/2013 16:29,3/30/2012,Transfer,Partner,Dog,Intact Female,1 year,1.5114707,Chihuahua Shorthair Mix,Chocolate/Tan
A663809,,10/2/2013 16:32,10/2/2013 16:32,3/24/2013,Transfer,Partner,Dog,Intact Male,6 months,0.527914764,Labrador Retriever Mix,Brown/White
A663982,,10/2/2013 16:36,10/2/2013 16:36,9/27/2012,Transfer,Partner,Dog,Intact Male,1 year,1.015593607,Miniature Pinscher Mix,Black/Tan
A663986,*Roberto,10/2/2013 16:38,10/2/2013 16:38,8/25/2013,Transfer,Partner,Cat,Intact Male,1 month,0.106008371,Domestic Shorthair Mix,Black/White
A663979,*Ajax,10/2/2013 16:39,10/2/2013 16:39,4/1/2013,Transfer,Partner,Cat,Neutered Male,6 months,0.506010274,Domestic Shorthair Mix,Orange Tabby
A663980,*Gwen,10/2/2013 16:39,10/2/2013 16:39,4/1/2013,Transfer,Partner,Cat,Spayed Female,6 months,0.506010274,Domestic Shorthair Mix,Black/White
A663584,*Kim,10/2/2013 16:44,10/2/2013 16:44,7/10/2013,Transfer,Partner,Cat,Intact Female,2 months,0.232047184,Domestic Shorthair Mix,Black
A663925,Patches,10/2/2013 16:48,10/2/2013 16:48,7/26/2013,Transfer,Partner,Cat,Intact Female,2 months,0.188219178,Domestic Medium Hair Mix,Calico
A663926,Gracie,10/2/2013 16:49,10/2/2013 16:49,9/26/2010,Transfer,Partner,Cat,Intact Female,3 years,3.021097793,Domestic Shorthair Mix,Tortie
A663924,Streak,10/2/2013 16:50,10/2/2013 16:50,7/26/2013,Transfer,Partner,Cat,Intact Male,2 months,0.188222983,Domestic Medium Hair Mix,Cream Tabby/White
A664368,Zeus,10/2/2013 16:51,10/2/2013 16:51,6/2/2013,Return to Owner,,Dog,Intact Male,4 months,0.336170091,German Shepherd Mix,Brown/Black
A663861,,10/2/2013 17:08,10/2/2013 17:08,3/25/2012,Euthanasia,Behavior,Dog,Intact Female,1 year,1.525243531,Pit Bull Mix,Blue/White
A639030,Cate,10/2/2013 17:08,10/2/2013 17:08,10/8/2005,Return to Owner,,Dog,Spayed Female,7 years,7.990996956,German Shepherd Mix,Tan
A660040,*Small Fry,10/2/2013 17:16,10/2/2013 17:16,7/18/2013,Adoption,,Cat,Neutered Male,2 months,0.210190259,Domestic Shorthair Mix,Orange Tabby
A664224,Toby,10/2/2013 17:16,10/2/2013 17:16,10/31/2011,Adoption,,Dog,Neutered Male,1 year,1.925258752,Yorkshire Terrier Mix,Silver/Brown
A663728,,10/2/2013 17:39,10/2/2013 17:39,7/13/2013,Transfer,Partner,Cat,Spayed Female,2 months,0.223932648,Domestic Shorthair Mix,Torbie
A663693,*Zorro,10/2/2013 17:40,10/2/2013 17:40,6/30/2013,Transfer,Partner,Cat,Neutered Male,3 months,0.259550989,Domestic Shorthair Mix,Black
A663653,*Squishy,10/2/2013 17:42,10/2/2013 17:42,7/22/2013,Transfer,Partner,Cat,Spayed Female,2 months,0.199280822,Domestic Shorthair Mix,Blue
A640316,Kato,10/2/2013 17:43,10/2/2013 17:43,6/8/2012,Adoption,,Dog,Neutered Male,1 year,1.31983067,Chihuahua Longhair Mix,Black
A663957,,10/2/2013 17:47,10/2/2013 17:47,10/27/2012,Adoption,,Dog,Neutered Male,11 months,0.93353691,Siberian Husky/German Shepherd,Buff
A663585,*Star,10/2/2013 18:00,10/2/2013 18:00,7/10/2013,Transfer,Partner,Cat,Intact Female,2 months,0.232191781,Domestic Shorthair Mix,Black
A663956,Haven,10/2/2013 18:06,10/2/2013 18:06,9/27/2009,Adoption,,Dog,Spayed Female,4 years,4.018504566,Australian Shepherd Mix,Tricolor
A663878,,10/2/2013 18:16,10/2/2013 18:16,9/25/2011,Adoption,,Dog,Spayed Female,2 years,2.024003044,Glen Of Imaal Mix,Black
A664308,Bruce,10/2/2013 18:21,10/2/2013 18:21,10/1/2007,Return to Owner,,Dog,Intact Male,6 years,6.010313927,Australian Cattle Dog Mix,Tricolor
A664384,,10/2/2013 18:36,10/2/2013 18:36,4/2/2013,Euthanasia,Rabies Risk,Other,Unknown,6 months,0.503493151,Raccoon Mix,Brown
A664033,*Billy,10/2/2013 18:40,10/2/2013 18:40,7/27/2013,Adoption,,Dog,Neutered Male,2 months,0.185692542,German Shepherd Mix,Tan/White
A663754,Spanky,10/2/2013 18:48,10/2/2013 18:48,9/27/2001,Return to Owner,,Dog,Neutered Male,12 years,12.02406393,Miniature Schnauzer Mix,Gray/Black
A663004,*Allie,10/2/2013 18:58,10/2/2013 18:58,1/14/2013,Adoption,,Dog,Spayed Female,8 months,0.717233638,Bulldog/Australian Cattle Dog,Black/White
A658765,Daisy,10/2/2013 19:02,10/2/2013 19:02,7/15/2011,Return to Owner,,Dog,Intact Female,2 years,2.221350837,Rhod Ridgeback Mix,Brown/Tan
A658825,Tiny,10/2/2013 19:02,10/2/2013 19:02,7/15/2004,Return to Owner,,Dog,Neutered Male,9 years,9.224090563,Boxer Mix,Tan/White
A658797,*Allie,10/2/2013 19:09,10/2/2013 19:09,1/15/2012,Adoption,,Cat,Spayed Female,1 year,1.717254566,Domestic Shorthair Mix,Blue/White
A664387,,10/2/2013 19:21,10/2/2013 19:21,9/17/2013,Transfer,Partner,Cat,Intact Female,2 weeks,0.043304795,Domestic Shorthair Mix,Blue Tabby
A664388,,10/2/2013 19:21,10/2/2013 19:21,9/17/2013,Transfer,Partner,Cat,Intact Male,2 weeks,0.043304795,Domestic Shorthair Mix,Blue Tabby
A663824,,10/2/2013 23:40,10/2/2013 23:40,1/29/2013,Transfer,Partner,Dog,Spayed Female,8 months,0.676674277,Labrador Retriever Mix,Brown
A663983,,10/2/2013 23:43,10/2/2013 23:43,9/27/2012,Transfer,Partner,Dog,Intact Female,1 year,1.016406012,Miniature Pinscher Mix,Black/Tan
A664281,,10/2/2013 23:53,10/2/2013 23:53,10/1/2011,Transfer,SCRP,Cat,Intact Male,2 years,2.00820586,Domestic Shorthair Mix,Brown Tabby
A664282,,10/2/2013 23:56,10/2/2013 23:56,10/1/2011,Transfer,SCRP,Cat,Intact Female,2 years,2.008211568,Domestic Longhair Mix,Brown Tabby
A664292,,10/2/2013 23:57,10/2/2013 23:57,12/1/2012,Transfer,SCRP,Cat,Intact Female,10 months,0.838350457,Domestic Shorthair Mix,Brown Tabby/White
A664386,,10/3/2013 10:28,10/3/2013 10:28,10/2/2001,Euthanasia,Suffering,Cat,Intact Female,12 years,12.01215373,Domestic Shorthair Mix,Brown Tabby
A663228,,10/3/2013 10:59,10/3/2013 10:59,9/15/2008,Transfer,Partner,Livestock,Intact Male,5 years,5.0533086,Miniature,Liver/Cream
A663692,Austin,10/3/2013 11:08,10/3/2013 11:08,9/22/2007,Return to Owner,,Dog,Neutered Male,6 years,6.036887367,Plott Hound Mix,Brown Brindle/White
A664430,,10/3/2013 11:52,10/3/2013 11:52,12/3/2012,Euthanasia,Rabies Risk,Other,Unknown,9 months,0.834231355,Skunk,Black/White
A664303,,10/3/2013 12:27,10/3/2013 12:27,12/1/2012,Transfer,SCRP,Cat,Intact Male,10 months,0.839777397,Domestic Shorthair Mix,Brown Tabby
A664304,,10/3/2013 12:27,10/3/2013 12:27,12/1/2012,Transfer,SCRP,Cat,Intact Male,10 months,0.839777397,Domestic Shorthair Mix,Orange Tabby
A664302,,10/3/2013 12:27,10/3/2013 12:27,12/1/2012,Transfer,SCRP,Cat,Intact Female,10 months,0.839777397,Domestic Shorthair Mix,Black/White
A664438,,10/3/2013 12:33,10/3/2013 12:33,10/3/2011,Euthanasia,Rabies Risk,Other,Unknown,2 years,2.004172374,Raccoon Mix,Black/White
A664289,,10/3/2013 12:41,10/3/2013 12:41,7/1/2013,Transfer,SCRP,Cat,Intact Female,3 months,0.258982116,Domestic Shorthair Mix,Brown Tabby/White
A660088,*Rooster,10/3/2013 12:50,10/3/2013 12:50,6/18/2013,Adoption,Foster,Dog,Neutered Male,3 months,0.294615677,Pit Bull Mix,Blue/White
A664188,Blue,10/3/2013 12:58,10/3/2013 12:58,3/30/2012,Return to Owner,,Dog,Neutered Male,1 year,1.51380898,Pit Bull Mix,Blue/White
A618691,Chucha,10/3/2013 13:05,10/3/2013 13:05,1/18/2011,Return to Owner,,Dog,Spayed Female,2 years,2.711082572,Chihuahua Shorthair Mix,Tan/White
A664355,Jewels,10/3/2013 13:07,10/3/2013 13:07,10/2/2009,Return to Owner,,Dog,Spayed Female,4 years,4.006976788,Miniature Poodle Mix,Black
A664115,Hey Boy,10/3/2013 14:17,10/3/2013 14:17,10/3/2001,Return to Owner,,Dog,Intact Male,12 years,12.0098497,Pug/Labrador Retriever,Brown
A664094,Sally,10/3/2013 15:15,10/3/2013 15:15,9/29/2011,Transfer,Partner,Dog,Spayed Female,2 years,2.015439498,Jack Russell Terrier Mix,Tan/White
A658253,Nugget,10/3/2013 15:15,10/3/2013 15:15,7/8/2011,Adoption,Foster,Cat,Neutered Male,2 years,2.242836758,Domestic Shorthair Mix,Orange Tabby
A663619,*Cinder,10/3/2013 15:19,10/3/2013 15:19,6/21/2013,Adoption,,Cat,Spayed Female,3 months,0.286679985,Domestic Shorthair Mix,Black/White
A664348,,10/3/2013 15:32,10/3/2013 15:32,10/2/2011,Transfer,SCRP,Cat,Intact Male,2 years,2.007252664,Domestic Shorthair Mix,Orange Tabby
A664428,,10/3/2013 15:32,10/3/2013 15:32,10/3/2012,Transfer,SCRP,Cat,Intact Female,1 year,1.001773212,Domestic Shorthair Mix,Torbie
A664437,,10/3/2013 15:33,10/3/2013 15:33,5/3/2013,Transfer,SCRP,Cat,Intact Male,5 months,0.420953196,Domestic Shorthair Mix,Orange Tabby/White
A664436,,10/3/2013 15:33,10/3/2013 15:33,5/3/2013,Transfer,SCRP,Cat,Intact Male,5 months,0.420953196,Domestic Shorthair Mix,Black/White
A664435,,10/3/2013 15:33,10/3/2013 15:33,5/3/2013,Transfer,SCRP,Cat,Intact Female,5 months,0.420953196,Domestic Shorthair Mix,Black/White
A664448,,10/3/2013 15:33,10/3/2013 15:33,6/3/2013,Transfer,SCRP,Cat,Intact Male,4 months,0.336021689,Domestic Shorthair Mix,Blue Tabby
A664380,,10/3/2013 15:33,10/3/2013 15:33,4/3/2013,Transfer,SCRP,Cat,Intact Female,6 months,0.503144977,Domestic Medium Hair Mix,Calico
A664459,Miss Kitty,10/3/2013 16:16,10/3/2013 16:16,10/3/2005,Euthanasia,Suffering,Cat,Spayed Female,8 years,8.007336377,Domestic Shorthair Mix,Brown Tabby/White
A664350,Elvis,10/3/2013 16:19,10/3/2013 16:19,10/2/2010,Return to Owner,,Dog,Neutered Male,3 years,3.007342085,Welsh Terrier Mix,Tan/Brown
A664356,Azul,10/3/2013 16:37,10/3/2013 16:37,3/3/2013,Transfer,Partner,Dog,Intact Male,7 months,0.58819825,Pit Bull Mix,Blue/White
A663657,,10/3/2013 16:42,10/3/2013 16:42,5/22/2013,Adoption,,Dog,Neutered Male,4 months,0.36902968,Pembroke Welsh Corgi Mix,White/Cream
A660041,*Adam,10/3/2013 17:27,10/3/2013 17:27,7/18/2013,Adoption,,Cat,Neutered Male,2 months,0.212950913,Domestic Shorthair Mix,Orange Tabby
A664113,Wrigley,10/3/2013 17:39,10/3/2013 17:39,7/29/2013,Adoption,,Dog,Neutered Male,2 months,0.182836758,German Shepherd Mix,Black/Tan
A663987,Dodie,10/3/2013 17:45,10/3/2013 17:45,11/27/2012,Adoption,,Dog,Spayed Female,10 months,0.851341324,Pit Bull Mix,Blue
A664110,Zazzy,10/3/2013 17:46,10/3/2013 17:46,9/29/2012,Adoption,,Dog,Spayed Female,1 year,1.012987062,German Shepherd Mix,Black/Tan
A663995,Biscuit,10/3/2013 17:58,10/3/2013 17:58,9/27/2011,Adoption,,Dog,Neutered Male,2 years,2.021229072,Maltese Mix,White
A664082,Stella,10/3/2013 18:00,10/3/2013 18:00,9/28/2012,Adoption,,Dog,Spayed Female,1 year,1.015753425,Norfolk Terrier Mix,Brown/Black
A663929,*Trixie,10/3/2013 18:03,10/3/2013 18:03,9/26/2006,Transfer,Partner,Dog,Spayed Female,7 years,7.026718037,Cardigan Welsh Corgi/Chihuahua Shorthair,Brown/Tan
A663890,,10/3/2013 18:07,10/3/2013 18:07,9/25/2011,Transfer,Partner,Dog,Spayed Female,2 years,2.026725647,Rat Terrier,Tricolor
A663999,,10/3/2013 18:08,10/3/2013 18:08,9/27/2010,Transfer,Partner,Dog,Neutered Male,3 years,3.021248097,Papillon Mix,Red/Black
A664172,Spider,10/3/2013 19:00,10/3/2013 19:00,9/30/1998,Return to Owner,,Cat,Neutered Male,15 years,15.02134703,Maine Coon Mix,Brown Tabby
A661097,Remy,10/4/2013 9:13,10/4/2013 9:13,8/15/2012,Adoption,Foster,Cat,Neutered Male,1 year,1.138038432,Domestic Shorthair Mix,Orange Tabby
A659835,*Moon Doggie,10/4/2013 9:17,10/4/2013 9:17,7/23/2013,Adoption,Foster,Dog,Neutered Male,2 months,0.201059741,Labrador Retriever/Doberman Pinsch,Black
A662881,*Tangerine,10/4/2013 11:11,10/4/2013 11:11,7/19/2013,Adoption,,Cat,Spayed Female,2 months,0.21223554,Domestic Shorthair Mix,Orange Tabby
A603779,*Rain,10/4/2013 11:38,10/4/2013 11:38,4/18/2011,Adoption,,Dog,Neutered Male,2 years,2.467081431,Labrador Retriever Mix,Yellow/Black
A662820,*Indigo,10/4/2013 12:54,10/4/2013 12:54,7/18/2013,Adoption,,Cat,Spayed Female,2 months,0.215171233,Domestic Shorthair Mix,Black
A663177,,10/4/2013 12:56,10/4/2013 12:56,7/14/2013,Return to Owner,,Dog,Neutered Male,2 months,0.226133942,American Bulldog Mix,Brown/White
A661160,*Creamsicle,10/4/2013 13:05,10/4/2013 13:05,7/1/2013,Adoption,Foster,Cat,Spayed Female,3 months,0.261767504,Domestic Shorthair Mix,Cream Tabby
A663804,Paco,10/4/2013 13:33,10/4/2013 13:33,9/25/2009,Return to Owner,,Dog,Neutered Male,4 years,4.028944064,Labrador Retriever/Pit Bull,Black
A663789,Freyja,10/4/2013 13:33,10/4/2013 13:33,9/25/2011,Return to Owner,,Dog,Spayed Female,2 years,2.028944064,Beagle/Pit Bull,White/Tan
